timestamp,gas1,gas2,gas3,gas4
0,913.0,235.0,739.0,454.0
100,913.0,234.0,739.0,454.0
200,913.0,234.0,738.0,454.0
300,913.0,234.0,739.0,454.0
400,913.0,234.0,739.0,453.0
500,913.0,234.0,739.0,454.0
600,913.0,234.0,738.0,453.0
700,913.0,234.0,739.0,454.0
800,914.0,234.0,738.0,453.0
900,913.0,234.0,738.0,454.0
1000,913.0,234.0,738.0,453.0
1100,913.0,234.0,738.0,453.0
1200,912.0,234.0,739.0,452.0
1300,913.0,234.0,738.0,453.0
1400,912.0,234.0,739.0,454.0
1500,912.0,234.0,739.0,453.0
1600,913.0,233.0,739.0,454.0
1700,912.0,234.0,738.0,453.0
1800,913.0,233.0,738.0,453.0
1900,913.0,234.0,739.0,453.0
2000,912.0,234.0,739.0,453.0
2100,912.0,234.0,738.0,453.0
2200,912.0,234.0,739.0,453.0
2300,912.0,233.0,739.0,453.0
2400,912.0,234.0,738.0,453.0
2500,912.0,234.0,739.0,454.0
2600,913.0,233.0,739.0,454.0
2700,912.0,234.0,739.0,454.0
2800,912.0,234.0,738.0,453.0
2900,912.0,234.0,738.0,453.0
3000,912.0,234.0,738.0,453.0
3100,912.0,234.0,739.0,454.0
3200,912.0,234.0,739.0,454.0
3300,912.0,234.0,738.0,454.0
3400,912.0,234.0,739.0,452.0
3500,912.0,234.0,738.0,453.0
3600,912.0,234.0,738.0,454.0
3700,912.0,234.0,739.0,453.0
3800,912.0,234.0,738.0,452.0
3900,912.0,234.0,738.0,453.0
4000,912.0,233.0,738.0,454.0
4100,913.0,233.0,738.0,453.0
4200,912.0,233.0,738.0,453.0
4300,913.0,234.0,739.0,454.0
4400,912.0,233.0,738.0,452.0
4500,912.0,234.0,738.0,453.0
4600,912.0,234.0,738.0,453.0
4700,912.0,234.0,739.0,453.0
4800,912.0,233.0,739.0,453.0
4900,912.0,234.0,739.0,453.0
5000,912.0,234.0,738.0,452.0
5100,913.0,234.0,738.0,453.0
5200,912.0,234.0,739.0,453.0
5300,912.0,234.0,738.0,453.0
5400,912.0,233.0,739.0,454.0
5500,912.0,234.0,738.0,453.0
5600,912.0,234.0,739.0,453.0
5700,912.0,234.0,738.0,453.0
5800,912.0,234.0,739.0,453.0
5900,912.0,233.0,740.0,454.0
6000,911.0,234.0,739.0,454.0
6100,912.0,234.0,738.0,453.0
6200,912.0,233.0,740.0,454.0
6300,913.0,234.0,738.0,452.0
6400,913.0,234.0,739.0,454.0
6500,913.0,235.0,738.0,453.0
6600,913.0,233.0,739.0,453.0
6700,912.0,233.0,739.0,453.0
6800,912.0,234.0,739.0,453.0
6900,913.0,234.0,738.0,454.0
7000,913.0,234.0,738.0,453.0
7100,913.0,234.0,739.0,453.0
7200,912.0,234.0,739.0,452.0
7300,912.0,234.0,739.0,454.0
7400,912.0,234.0,739.0,453.0
7500,912.0,233.0,738.0,454.0
7600,913.0,234.0,739.0,453.0
7700,913.0,235.0,739.0,454.0
7800,913.0,233.0,738.0,454.0
7900,912.0,234.0,739.0,453.0
8000,913.0,234.0,739.0,453.0
8100,913.0,234.0,738.0,453.0
8200,912.0,234.0,739.0,454.0
8300,912.0,234.0,739.0,453.0
8400,913.0,234.0,739.0,453.0
8500,913.0,233.0,739.0,453.0
8600,913.0,234.0,739.0,453.0
8700,912.0,234.0,740.0,453.0
8800,913.0,234.0,738.0,453.0
8900,914.0,234.0,739.0,453.0
9000,913.0,234.0,738.0,454.0
9100,912.0,235.0,739.0,454.0
9200,914.0,234.0,738.0,454.0
9300,913.0,235.0,738.0,453.0
9400,913.0,234.0,739.0,454.0
9500,912.0,234.0,738.0,453.0
9600,913.0,234.0,739.0,453.0
9700,913.0,234.0,739.0,453.0
9800,913.0,234.0,739.0,453.0
9900,913.0,234.0,738.0,454.0
10000,913.0,234.0,739.0,453.0
10100,913.0,234.0,739.0,453.0
10200,913.0,234.0,738.0,454.0
10300,913.0,234.0,739.0,453.0
10400,912.0,234.0,738.0,454.0
10500,913.0,234.0,739.0,453.0
10600,914.0,234.0,739.0,453.0
10700,913.0,234.0,739.0,454.0
10800,914.0,234.0,740.0,453.0
10900,913.0,234.0,738.0,453.0
11000,914.0,235.0,739.0,454.0
11100,913.0,234.0,739.0,453.0
11200,914.0,234.0,739.0,454.0
11300,914.0,234.0,739.0,453.0
11400,914.0,234.0,740.0,454.0
11500,913.0,233.0,740.0,454.0
11600,914.0,234.0,738.0,453.0
11700,913.0,234.0,739.0,454.0
11800,913.0,234.0,739.0,454.0
11900,914.0,234.0,739.0,454.0
12000,913.0,234.0,738.0,453.0
12100,914.0,234.0,739.0,453.0
12200,914.0,234.0,739.0,453.0
12300,913.0,233.0,738.0,453.0
12400,914.0,234.0,739.0,454.0
12500,914.0,234.0,738.0,453.0
12600,914.0,234.0,739.0,454.0
12700,914.0,234.0,739.0,453.0
12800,914.0,234.0,739.0,453.0
12900,915.0,234.0,739.0,453.0
13000,914.0,234.0,739.0,454.0
13100,913.0,234.0,738.0,454.0
13200,914.0,234.0,739.0,453.0
13300,914.0,234.0,738.0,454.0
13400,914.0,234.0,738.0,452.0
13500,915.0,233.0,739.0,454.0
13600,915.0,233.0,739.0,452.0
13700,915.0,234.0,739.0,453.0
13800,915.0,234.0,739.0,453.0
13900,915.0,234.0,738.0,454.0
14000,915.0,234.0,739.0,454.0
14100,915.0,234.0,739.0,453.0
14200,914.0,234.0,739.0,454.0
14300,915.0,233.0,739.0,453.0
14400,914.0,234.0,739.0,454.0
14500,914.0,234.0,739.0,454.0
14600,914.0,234.0,739.0,454.0
14700,914.0,234.0,738.0,453.0
14800,915.0,234.0,739.0,454.0
14900,915.0,234.0,738.0,453.0
15000,914.0,234.0,739.0,453.0
15100,915.0,234.0,739.0,454.0
15200,914.0,234.0,739.0,454.0
15300,915.0,234.0,738.0,453.0
15400,914.0,234.0,739.0,453.0
15500,914.0,234.0,738.0,453.0
15600,914.0,234.0,739.0,454.0
15700,914.0,233.0,739.0,454.0
15800,915.0,234.0,739.0,454.0
15900,914.0,233.0,739.0,453.0
16000,915.0,234.0,739.0,454.0
16100,914.0,234.0,739.0,453.0
16200,915.0,233.0,739.0,453.0
16300,915.0,234.0,740.0,454.0
16400,914.0,234.0,739.0,453.0
16500,914.0,233.0,739.0,453.0
16600,914.0,233.0,739.0,454.0
16700,914.0,234.0,738.0,453.0
16800,914.0,234.0,739.0,454.0
16900,915.0,234.0,739.0,454.0
17000,915.0,234.0,739.0,454.0
17100,914.0,234.0,739.0,453.0
17200,914.0,234.0,739.0,453.0
17300,915.0,234.0,739.0,453.0
17400,914.0,234.0,739.0,453.0
17500,915.0,234.0,739.0,454.0
17600,914.0,233.0,739.0,454.0
17700,915.0,234.0,739.0,453.0
17800,915.0,234.0,739.0,454.0
17900,915.0,234.0,739.0,454.0
18000,915.0,233.0,739.0,454.0
18100,916.0,234.0,738.0,452.0
18200,915.0,234.0,739.0,454.0
18300,916.0,234.0,739.0,453.0
18400,914.0,233.0,739.0,453.0
18500,914.0,233.0,739.0,453.0
18600,915.0,234.0,739.0,454.0
18700,913.0,233.0,740.0,453.0
18800,914.0,234.0,738.0,454.0
18900,914.0,234.0,739.0,453.0
19000,914.0,234.0,738.0,453.0
19100,915.0,234.0,739.0,453.0
19200,914.0,234.0,739.0,453.0
19300,914.0,233.0,739.0,454.0
19400,914.0,233.0,738.0,454.0
19500,915.0,234.0,739.0,453.0
19600,915.0,234.0,739.0,452.0
19700,915.0,234.0,739.0,454.0
19800,914.0,234.0,739.0,453.0
19900,914.0,234.0,739.0,454.0
20000,915.0,234.0,738.0,454.0
20100,914.0,234.0,739.0,453.0
20200,914.0,233.0,739.0,454.0
20300,915.0,233.0,739.0,453.0
20400,914.0,233.0,738.0,453.0
20500,915.0,233.0,739.0,453.0
20600,914.0,234.0,739.0,454.0
20700,914.0,234.0,738.0,452.0
20800,915.0,234.0,739.0,454.0
20900,914.0,234.0,738.0,453.0
21000,914.0,234.0,739.0,453.0
21100,915.0,234.0,739.0,453.0
21200,915.0,234.0,739.0,453.0
21300,914.0,234.0,739.0,454.0
21400,915.0,234.0,739.0,454.0
21500,915.0,234.0,739.0,453.0
21600,914.0,234.0,739.0,454.0
21700,915.0,234.0,739.0,453.0
21800,914.0,234.0,740.0,455.0
21900,914.0,234.0,738.0,454.0
22000,914.0,234.0,739.0,454.0
22100,914.0,234.0,739.0,454.0
22200,914.0,234.0,739.0,454.0
22300,914.0,234.0,739.0,454.0
22400,914.0,234.0,739.0,454.0
22500,914.0,234.0,738.0,454.0
22600,914.0,234.0,739.0,453.0
22700,915.0,233.0,738.0,453.0
22800,914.0,234.0,739.0,454.0
22900,914.0,234.0,739.0,454.0
23000,913.0,234.0,739.0,454.0
23100,914.0,234.0,739.0,454.0
23200,914.0,234.0,739.0,454.0
23300,914.0,234.0,739.0,453.0
23400,914.0,233.0,740.0,454.0
23500,913.0,234.0,740.0,453.0
23600,913.0,234.0,739.0,454.0
23700,914.0,234.0,739.0,454.0
23800,914.0,234.0,739.0,453.0
23900,912.0,234.0,739.0,453.0
24000,913.0,234.0,739.0,453.0
24100,912.0,234.0,740.0,454.0
24200,913.0,234.0,739.0,454.0
24300,913.0,233.0,739.0,453.0
24400,912.0,234.0,738.0,454.0
24500,912.0,234.0,740.0,455.0
24600,912.0,234.0,738.0,454.0
24700,912.0,235.0,739.0,453.0
24800,912.0,234.0,739.0,453.0
24900,912.0,234.0,739.0,453.0
25000,912.0,234.0,739.0,454.0
25100,912.0,234.0,739.0,454.0
25200,911.0,234.0,739.0,454.0
25300,911.0,234.0,739.0,454.0
25400,912.0,234.0,739.0,454.0
25500,911.0,234.0,739.0,453.0
25600,911.0,234.0,740.0,453.0
25700,911.0,234.0,740.0,454.0
25800,911.0,234.0,739.0,454.0
25900,911.0,234.0,739.0,454.0
26000,911.0,234.0,738.0,454.0
26100,911.0,233.0,739.0,454.0
26200,911.0,233.0,738.0,454.0
26300,911.0,233.0,739.0,453.0
26400,911.0,234.0,739.0,454.0
26500,911.0,234.0,739.0,452.0
26600,911.0,233.0,739.0,454.0
26700,911.0,234.0,739.0,453.0
26800,911.0,234.0,739.0,453.0
26900,910.0,234.0,738.0,453.0
27000,910.0,234.0,739.0,454.0
27100,911.0,234.0,738.0,454.0
27200,911.0,234.0,739.0,453.0
27300,911.0,234.0,739.0,453.0
27400,911.0,234.0,739.0,453.0
27500,911.0,234.0,739.0,454.0
27600,911.0,234.0,740.0,454.0
27700,911.0,234.0,739.0,454.0
