timestamp,gas1,gas2,gas3,gas4
0,799.0,450.0,846.0,577.0
100,798.0,450.0,845.0,578.0
200,799.0,448.0,845.0,578.0
300,798.0,449.0,845.0,578.0
400,799.0,449.0,844.0,577.0
500,799.0,449.0,845.0,578.0
600,798.0,449.0,845.0,578.0
700,799.0,449.0,846.0,579.0
800,798.0,448.0,844.0,578.0
900,799.0,448.0,845.0,579.0
1000,799.0,449.0,845.0,578.0
1100,799.0,449.0,844.0,577.0
1200,799.0,448.0,845.0,578.0
1300,799.0,448.0,845.0,577.0
1400,799.0,448.0,845.0,578.0
1500,799.0,448.0,845.0,578.0
1600,799.0,448.0,845.0,578.0
1700,799.0,448.0,845.0,579.0
1800,798.0,448.0,844.0,578.0
1900,799.0,448.0,845.0,577.0
2000,799.0,448.0,845.0,578.0
2100,798.0,448.0,845.0,577.0
2200,798.0,448.0,845.0,577.0
2300,799.0,446.0,844.0,578.0
2400,798.0,448.0,844.0,579.0
2500,798.0,448.0,846.0,579.0
2600,798.0,447.0,845.0,578.0
2700,799.0,447.0,845.0,578.0
2800,799.0,447.0,844.0,578.0
2900,798.0,447.0,844.0,579.0
3000,799.0,447.0,844.0,579.0
3100,799.0,447.0,845.0,578.0
3200,799.0,447.0,844.0,577.0
3300,799.0,447.0,844.0,579.0
3400,798.0,447.0,844.0,578.0
3500,798.0,447.0,844.0,579.0
3600,799.0,447.0,844.0,578.0
3700,798.0,446.0,844.0,578.0
3800,798.0,447.0,844.0,578.0
3900,799.0,446.0,845.0,578.0
4000,798.0,446.0,844.0,578.0
4100,798.0,447.0,845.0,578.0
4200,799.0,446.0,844.0,579.0
4300,798.0,446.0,844.0,579.0
4400,798.0,446.0,845.0,578.0
4500,799.0,446.0,844.0,579.0
4600,799.0,446.0,844.0,579.0
4700,798.0,446.0,845.0,579.0
4800,798.0,446.0,844.0,578.0
4900,798.0,446.0,843.0,579.0
5000,799.0,446.0,844.0,578.0
5100,799.0,445.0,844.0,579.0
5200,799.0,445.0,844.0,578.0
5300,798.0,445.0,843.0,578.0
5400,798.0,445.0,844.0,579.0
5500,797.0,445.0,844.0,578.0
5600,798.0,445.0,844.0,578.0
5700,797.0,445.0,844.0,578.0
5800,798.0,445.0,843.0,579.0
5900,798.0,444.0,844.0,579.0
6000,799.0,445.0,844.0,579.0
6100,798.0,444.0,844.0,578.0
6200,797.0,445.0,845.0,578.0
6300,798.0,444.0,844.0,578.0
6400,798.0,445.0,844.0,578.0
6500,797.0,445.0,844.0,579.0
6600,799.0,445.0,844.0,579.0
6700,798.0,444.0,844.0,579.0
6800,798.0,445.0,844.0,578.0
