timestamp,gas1,gas2,gas3,gas4
0,343.0,34.0,303.0,69.0
100,343.0,33.0,302.0,69.0
200,343.0,33.0,303.0,70.0
300,344.0,34.0,303.0,69.0
400,343.0,34.0,302.0,70.0
500,344.0,34.0,303.0,70.0
600,344.0,33.0,303.0,70.0
700,343.0,34.0,303.0,70.0
800,344.0,34.0,302.0,70.0
900,343.0,33.0,303.0,70.0
1000,344.0,34.0,303.0,69.0
1100,344.0,34.0,303.0,69.0
1200,344.0,34.0,303.0,70.0
1300,343.0,34.0,303.0,70.0
1400,343.0,33.0,307.0,69.0
1500,343.0,34.0,310.0,70.0
1600,344.0,33.0,312.0,71.0
1700,343.0,34.0,312.0,72.0
1800,344.0,34.0,315.0,72.0
1900,344.0,33.0,316.0,73.0
2000,343.0,34.0,317.0,72.0
2100,344.0,34.0,316.0,73.0
2200,344.0,34.0,315.0,72.0
2300,343.0,34.0,316.0,73.0
2400,343.0,34.0,315.0,73.0
2500,343.0,34.0,315.0,73.0
2600,343.0,33.0,315.0,73.0
2700,343.0,34.0,314.0,73.0
2800,343.0,34.0,312.0,73.0
2900,343.0,34.0,310.0,72.0
3000,343.0,34.0,310.0,72.0
3100,343.0,33.0,309.0,72.0
3200,343.0,33.0,309.0,72.0
3300,343.0,34.0,308.0,71.0
3400,342.0,34.0,307.0,72.0
3500,343.0,34.0,307.0,71.0
3600,343.0,33.0,307.0,71.0
3700,342.0,34.0,305.0,71.0
3800,342.0,34.0,306.0,71.0
3900,342.0,33.0,304.0,71.0
4000,343.0,33.0,305.0,71.0
4100,343.0,34.0,304.0,70.0
4200,342.0,33.0,304.0,70.0
4300,342.0,34.0,303.0,71.0
4400,342.0,33.0,303.0,70.0
4500,342.0,32.0,303.0,70.0
4600,342.0,33.0,302.0,70.0
4700,342.0,34.0,303.0,70.0
4800,342.0,33.0,303.0,70.0
4900,342.0,34.0,301.0,69.0
5000,341.0,33.0,302.0,70.0
5100,342.0,34.0,302.0,70.0
5200,341.0,34.0,302.0,70.0
5300,341.0,33.0,302.0,69.0
5400,342.0,34.0,301.0,70.0
5500,341.0,34.0,300.0,69.0
5600,341.0,33.0,301.0,70.0
5700,341.0,33.0,300.0,69.0
5800,342.0,34.0,300.0,70.0
5900,341.0,33.0,301.0,69.0
6000,341.0,34.0,300.0,70.0
6100,341.0,32.0,300.0,69.0
6200,340.0,33.0,300.0,70.0
6300,341.0,34.0,300.0,69.0
6400,341.0,33.0,299.0,69.0
6500,340.0,33.0,299.0,69.0
6600,341.0,33.0,299.0,68.0
6700,341.0,33.0,298.0,69.0
6800,341.0,34.0,300.0,69.0
6900,341.0,33.0,298.0,69.0
7000,341.0,33.0,300.0,69.0
7100,341.0,34.0,299.0,68.0
7200,341.0,33.0,299.0,69.0
7300,341.0,33.0,300.0,69.0
7400,341.0,34.0,298.0,68.0
7500,341.0,33.0,299.0,68.0
7600,340.0,33.0,299.0,69.0
7700,342.0,33.0,298.0,69.0
7800,341.0,33.0,298.0,69.0
7900,341.0,34.0,298.0,68.0
8000,341.0,34.0,299.0,68.0
8100,341.0,34.0,299.0,68.0
8200,342.0,33.0,299.0,69.0
8300,341.0,34.0,299.0,69.0
8400,342.0,34.0,299.0,69.0
8500,342.0,34.0,299.0,69.0
8600,342.0,33.0,299.0,69.0
8700,342.0,33.0,299.0,69.0
8800,342.0,33.0,299.0,68.0
8900,342.0,34.0,300.0,69.0
9000,342.0,34.0,300.0,68.0
9100,341.0,34.0,300.0,68.0
9200,342.0,33.0,299.0,68.0
9300,342.0,33.0,299.0,68.0
9400,342.0,34.0,298.0,69.0
9500,341.0,33.0,298.0,68.0
9600,341.0,33.0,298.0,68.0
9700,341.0,33.0,298.0,68.0
9800,342.0,33.0,298.0,69.0
9900,342.0,34.0,298.0,68.0
10000,341.0,33.0,297.0,68.0
10100,341.0,33.0,298.0,68.0
10200,342.0,34.0,297.0,68.0
10300,341.0,33.0,297.0,69.0
10400,342.0,34.0,298.0,69.0
10500,341.0,33.0,298.0,68.0
10600,342.0,32.0,298.0,68.0
10700,342.0,33.0,298.0,68.0
10800,341.0,33.0,298.0,69.0
10900,342.0,33.0,297.0,69.0
11000,341.0,33.0,298.0,69.0
11100,342.0,33.0,298.0,68.0
11200,341.0,34.0,297.0,68.0
11300,342.0,34.0,297.0,68.0
11400,341.0,33.0,297.0,69.0
11500,342.0,33.0,296.0,69.0
11600,342.0,33.0,296.0,68.0
11700,341.0,33.0,297.0,68.0
11800,342.0,33.0,297.0,69.0
11900,342.0,33.0,297.0,68.0
12000,341.0,33.0,296.0,68.0
12100,342.0,33.0,296.0,69.0
12200,341.0,33.0,297.0,68.0
12300,342.0,33.0,296.0,67.0
12400,342.0,33.0,296.0,68.0
12500,342.0,33.0,297.0,67.0
12600,343.0,33.0,297.0,68.0
12700,342.0,33.0,297.0,68.0
12800,342.0,34.0,297.0,68.0
12900,342.0,33.0,297.0,68.0
13000,342.0,33.0,297.0,69.0
13100,342.0,34.0,298.0,68.0
13200,342.0,33.0,299.0,68.0
13300,341.0,33.0,300.0,68.0
13400,341.0,33.0,299.0,68.0
13500,342.0,33.0,300.0,68.0
13600,342.0,33.0,302.0,69.0
13700,343.0,33.0,302.0,69.0
13800,343.0,33.0,301.0,70.0
13900,343.0,34.0,301.0,69.0
14000,342.0,34.0,300.0,69.0
14100,342.0,33.0,300.0,69.0
14200,343.0,32.0,300.0,69.0
14300,342.0,34.0,299.0,68.0
14400,342.0,33.0,299.0,69.0
14500,342.0,33.0,298.0,69.0
14600,343.0,33.0,299.0,69.0
14700,343.0,33.0,298.0,68.0
14800,342.0,33.0,298.0,69.0
14900,343.0,33.0,298.0,69.0
15000,342.0,33.0,298.0,69.0
15100,342.0,34.0,298.0,69.0
15200,342.0,33.0,298.0,69.0
15300,342.0,33.0,298.0,69.0
15400,342.0,33.0,298.0,69.0
15500,342.0,33.0,297.0,69.0
15600,343.0,32.0,298.0,68.0
15700,343.0,33.0,298.0,68.0
15800,343.0,33.0,297.0,69.0
15900,342.0,33.0,298.0,68.0
16000,343.0,33.0,298.0,69.0
16100,343.0,33.0,298.0,68.0
16200,342.0,33.0,298.0,68.0
16300,342.0,33.0,298.0,69.0
16400,342.0,33.0,298.0,68.0
16500,343.0,33.0,297.0,69.0
16600,343.0,33.0,297.0,68.0
16700,342.0,33.0,297.0,69.0
16800,343.0,34.0,297.0,69.0
16900,342.0,33.0,299.0,69.0
17000,343.0,33.0,299.0,68.0
17100,342.0,34.0,299.0,69.0
17200,342.0,34.0,300.0,68.0
17300,342.0,34.0,300.0,69.0
17400,343.0,33.0,299.0,68.0
17500,343.0,33.0,300.0,69.0
17600,342.0,33.0,299.0,69.0
17700,343.0,34.0,299.0,68.0
17800,342.0,34.0,300.0,69.0
17900,343.0,33.0,301.0,69.0
18000,343.0,34.0,300.0,69.0
18100,342.0,33.0,301.0,69.0
18200,343.0,34.0,300.0,69.0
18300,343.0,34.0,300.0,69.0
18400,343.0,33.0,300.0,69.0
18500,343.0,33.0,300.0,69.0
18600,343.0,33.0,300.0,68.0
18700,343.0,33.0,300.0,69.0
18800,344.0,33.0,301.0,69.0
18900,344.0,33.0,300.0,69.0
19000,343.0,34.0,300.0,69.0
19100,344.0,33.0,301.0,69.0
19200,343.0,33.0,301.0,69.0
19300,343.0,33.0,301.0,69.0
19400,343.0,33.0,300.0,69.0
19500,343.0,33.0,300.0,70.0
19600,344.0,34.0,300.0,69.0
19700,343.0,33.0,300.0,69.0
19800,343.0,34.0,300.0,69.0
19900,344.0,34.0,300.0,68.0
20000,343.0,34.0,300.0,68.0
20100,343.0,34.0,301.0,69.0
20200,343.0,33.0,300.0,68.0
20300,344.0,33.0,300.0,70.0
20400,343.0,34.0,300.0,69.0
20500,343.0,33.0,301.0,69.0
20600,344.0,33.0,300.0,69.0
20700,344.0,33.0,301.0,70.0
20800,344.0,33.0,301.0,70.0
20900,344.0,34.0,300.0,70.0
21000,344.0,34.0,300.0,69.0
21100,343.0,33.0,300.0,69.0
21200,343.0,34.0,300.0,69.0
21300,344.0,34.0,300.0,69.0
21400,343.0,34.0,300.0,69.0
21500,344.0,34.0,300.0,69.0
21600,344.0,33.0,299.0,70.0
21700,344.0,34.0,300.0,69.0
21800,344.0,33.0,300.0,69.0
21900,344.0,34.0,300.0,70.0
22000,344.0,34.0,301.0,68.0
22100,344.0,34.0,300.0,70.0
22200,343.0,33.0,300.0,69.0
22300,344.0,33.0,300.0,68.0
22400,344.0,33.0,301.0,69.0
22500,344.0,34.0,301.0,69.0
22600,344.0,34.0,301.0,69.0
22700,344.0,34.0,300.0,69.0
22800,344.0,33.0,301.0,69.0
22900,344.0,34.0,301.0,70.0
23000,344.0,33.0,300.0,69.0
23100,343.0,33.0,300.0,69.0
23200,344.0,34.0,300.0,69.0
23300,343.0,34.0,300.0,69.0
23400,343.0,34.0,300.0,70.0
23500,344.0,33.0,300.0,69.0
23600,344.0,33.0,300.0,69.0
23700,344.0,34.0,300.0,69.0
23800,343.0,33.0,300.0,69.0
23900,343.0,33.0,299.0,69.0
24000,343.0,33.0,300.0,68.0
24100,344.0,34.0,299.0,69.0
24200,343.0,33.0,300.0,69.0
24300,344.0,34.0,300.0,69.0
24400,344.0,33.0,300.0,69.0
24500,343.0,33.0,300.0,69.0
24600,343.0,33.0,300.0,69.0
24700,343.0,33.0,300.0,69.0
24800,343.0,34.0,300.0,69.0
24900,344.0,34.0,300.0,69.0
25000,343.0,33.0,300.0,70.0
25100,343.0,33.0,300.0,68.0
25200,343.0,34.0,300.0,69.0
25300,344.0,33.0,300.0,69.0
25400,343.0,34.0,299.0,69.0
25500,343.0,33.0,300.0,69.0
25600,343.0,33.0,300.0,68.0
25700,343.0,34.0,299.0,69.0
25800,343.0,33.0,299.0,68.0
25900,343.0,34.0,299.0,68.0
26000,343.0,33.0,300.0,69.0
26100,343.0,33.0,300.0,69.0
26200,343.0,33.0,299.0,69.0
26300,342.0,34.0,301.0,69.0
26400,342.0,33.0,300.0,69.0
26500,342.0,33.0,299.0,69.0
26600,343.0,33.0,299.0,68.0
26700,343.0,33.0,299.0,69.0
