timestamp,gas1,gas2,gas3,gas4
0,409.0,71.0,364.0,72.0
100,408.0,71.0,364.0,73.0
200,409.0,71.0,363.0,72.0
300,409.0,71.0,364.0,73.0
400,409.0,71.0,364.0,73.0
500,409.0,71.0,364.0,73.0
600,409.0,71.0,364.0,72.0
700,409.0,71.0,364.0,72.0
800,409.0,70.0,364.0,73.0
900,409.0,70.0,364.0,72.0
1000,409.0,71.0,363.0,72.0
1100,409.0,71.0,365.0,72.0
1200,409.0,71.0,364.0,72.0
1300,409.0,72.0,364.0,73.0
1400,409.0,72.0,365.0,72.0
1500,408.0,71.0,364.0,73.0
1600,409.0,71.0,364.0,73.0
1700,409.0,71.0,364.0,72.0
1800,409.0,71.0,365.0,72.0
1900,409.0,71.0,365.0,72.0
2000,409.0,71.0,365.0,73.0
2100,409.0,71.0,365.0,73.0
2200,409.0,71.0,365.0,72.0
2300,409.0,71.0,365.0,72.0
2400,409.0,70.0,365.0,72.0
2500,409.0,71.0,366.0,72.0
2600,409.0,71.0,366.0,72.0
2700,409.0,72.0,365.0,73.0
2800,409.0,71.0,366.0,73.0
2900,408.0,71.0,365.0,73.0
3000,409.0,71.0,365.0,72.0
3100,409.0,71.0,365.0,73.0
3200,409.0,71.0,365.0,73.0
3300,409.0,71.0,365.0,73.0
3400,410.0,71.0,365.0,73.0
3500,410.0,71.0,365.0,73.0
3600,410.0,71.0,365.0,72.0
3700,410.0,72.0,365.0,72.0
3800,410.0,71.0,366.0,73.0
3900,409.0,72.0,365.0,72.0
4000,410.0,71.0,365.0,73.0
4100,410.0,71.0,365.0,73.0
4200,409.0,71.0,365.0,72.0
4300,410.0,72.0,365.0,73.0
4400,409.0,71.0,365.0,73.0
4500,410.0,71.0,364.0,72.0
4600,410.0,71.0,364.0,72.0
4700,410.0,71.0,362.0,72.0
4800,410.0,71.0,364.0,72.0
4900,410.0,71.0,363.0,72.0
5000,410.0,71.0,363.0,71.0
5100,410.0,71.0,364.0,72.0
5200,410.0,71.0,363.0,72.0
5300,410.0,71.0,364.0,73.0
5400,411.0,72.0,364.0,72.0
5500,410.0,71.0,362.0,72.0
5600,410.0,72.0,362.0,72.0
5700,410.0,71.0,363.0,72.0
5800,411.0,72.0,362.0,71.0
5900,410.0,72.0,363.0,72.0
6000,410.0,71.0,362.0,72.0
6100,410.0,71.0,362.0,71.0
6200,411.0,71.0,362.0,72.0
6300,411.0,71.0,362.0,72.0
6400,411.0,71.0,363.0,72.0
6500,411.0,71.0,362.0,71.0
6600,411.0,71.0,362.0,72.0
6700,410.0,72.0,363.0,72.0
6800,410.0,71.0,363.0,72.0
6900,410.0,72.0,362.0,72.0
7000,411.0,72.0,362.0,72.0
7100,411.0,71.0,362.0,72.0
7200,411.0,72.0,361.0,72.0
7300,411.0,72.0,361.0,72.0
7400,411.0,71.0,360.0,71.0
7500,410.0,71.0,360.0,71.0
7600,412.0,71.0,360.0,72.0
7700,412.0,72.0,361.0,72.0
7800,412.0,72.0,361.0,71.0
7900,411.0,72.0,360.0,71.0
8000,411.0,71.0,361.0,71.0
8100,411.0,72.0,361.0,72.0
8200,411.0,71.0,361.0,71.0
8300,411.0,71.0,361.0,72.0
8400,411.0,71.0,360.0,71.0
8500,411.0,72.0,361.0,72.0
8600,411.0,71.0,360.0,71.0
8700,411.0,71.0,361.0,72.0
8800,411.0,71.0,361.0,72.0
8900,411.0,71.0,361.0,72.0
9000,411.0,71.0,361.0,71.0
9100,412.0,71.0,361.0,71.0
9200,411.0,71.0,362.0,72.0
9300,411.0,71.0,362.0,72.0
9400,412.0,71.0,362.0,72.0
9500,411.0,71.0,362.0,72.0
9600,412.0,72.0,362.0,72.0
9700,412.0,71.0,363.0,72.0
9800,412.0,72.0,362.0,72.0
9900,411.0,71.0,363.0,72.0
10000,412.0,71.0,363.0,73.0
10100,412.0,72.0,362.0,72.0
10200,412.0,72.0,362.0,72.0
10300,412.0,71.0,363.0,72.0
10400,411.0,71.0,362.0,72.0
10500,411.0,71.0,362.0,72.0
10600,412.0,71.0,363.0,72.0
10700,411.0,71.0,363.0,72.0
10800,411.0,71.0,363.0,72.0
10900,411.0,71.0,363.0,73.0
11000,411.0,71.0,363.0,72.0
11100,411.0,71.0,363.0,72.0
11200,412.0,71.0,363.0,72.0
11300,412.0,71.0,363.0,73.0
11400,412.0,71.0,364.0,73.0
11500,411.0,71.0,363.0,72.0
11600,411.0,72.0,363.0,73.0
11700,412.0,72.0,363.0,72.0
11800,411.0,72.0,363.0,72.0
11900,412.0,71.0,363.0,72.0
12000,411.0,72.0,363.0,73.0
12100,412.0,71.0,362.0,72.0
12200,412.0,71.0,363.0,72.0
12300,411.0,71.0,362.0,72.0
12400,411.0,71.0,363.0,72.0
12500,411.0,71.0,362.0,72.0
12600,412.0,71.0,362.0,72.0
12700,412.0,71.0,362.0,72.0
12800,411.0,72.0,361.0,71.0
12900,412.0,72.0,361.0,72.0
13000,412.0,72.0,362.0,72.0
13100,412.0,71.0,361.0,72.0
13200,412.0,72.0,361.0,71.0
13300,412.0,72.0,361.0,72.0
13400,412.0,72.0,361.0,71.0
13500,412.0,71.0,360.0,71.0
13600,412.0,71.0,361.0,71.0
13700,412.0,72.0,361.0,72.0
13800,412.0,71.0,361.0,71.0
13900,412.0,72.0,361.0,71.0
14000,411.0,71.0,361.0,71.0
14100,412.0,72.0,361.0,72.0
14200,412.0,71.0,361.0,71.0
14300,413.0,72.0,361.0,71.0
14400,412.0,72.0,362.0,72.0
14500,412.0,72.0,361.0,71.0
14600,413.0,72.0,362.0,71.0
14700,413.0,72.0,361.0,72.0
14800,413.0,72.0,362.0,71.0
14900,413.0,71.0,362.0,71.0
15000,413.0,72.0,362.0,72.0
15100,413.0,72.0,362.0,71.0
15200,413.0,72.0,362.0,72.0
15300,413.0,71.0,363.0,72.0
15400,413.0,71.0,363.0,72.0
15500,413.0,71.0,363.0,72.0
15600,413.0,71.0,363.0,72.0
15700,413.0,72.0,364.0,71.0
15800,413.0,72.0,363.0,71.0
15900,413.0,72.0,364.0,72.0
16000,413.0,71.0,364.0,72.0
16100,413.0,72.0,363.0,72.0
16200,413.0,71.0,364.0,73.0
16300,413.0,71.0,363.0,72.0
16400,413.0,71.0,365.0,72.0
16500,413.0,71.0,365.0,72.0
16600,413.0,71.0,365.0,72.0
16700,413.0,71.0,365.0,72.0
16800,414.0,71.0,366.0,72.0
16900,412.0,72.0,365.0,73.0
17000,414.0,71.0,365.0,72.0
17100,413.0,72.0,366.0,72.0
17200,413.0,72.0,365.0,73.0
17300,414.0,71.0,366.0,72.0
17400,414.0,72.0,366.0,73.0
17500,414.0,71.0,366.0,73.0
17600,414.0,71.0,366.0,73.0
17700,413.0,71.0,366.0,73.0
17800,414.0,72.0,367.0,73.0
17900,413.0,71.0,366.0,73.0
18000,413.0,72.0,367.0,73.0
18100,414.0,72.0,366.0,72.0
18200,413.0,72.0,367.0,73.0
18300,414.0,71.0,366.0,73.0
18400,414.0,72.0,367.0,73.0
18500,414.0,71.0,366.0,73.0
18600,414.0,71.0,366.0,72.0
18700,413.0,72.0,367.0,73.0
18800,414.0,72.0,367.0,73.0
18900,414.0,71.0,367.0,73.0
19000,413.0,72.0,368.0,72.0
19100,413.0,71.0,366.0,72.0
19200,414.0,71.0,368.0,73.0
19300,415.0,72.0,368.0,73.0
19400,414.0,71.0,366.0,72.0
19500,413.0,71.0,367.0,73.0
19600,414.0,71.0,367.0,73.0
19700,414.0,72.0,367.0,72.0
19800,414.0,71.0,367.0,73.0
19900,414.0,71.0,367.0,72.0
20000,413.0,72.0,368.0,73.0
20100,413.0,72.0,367.0,73.0
20200,414.0,71.0,367.0,73.0
20300,415.0,71.0,367.0,73.0
20400,414.0,71.0,367.0,73.0
20500,415.0,72.0,368.0,73.0
20600,414.0,72.0,368.0,73.0
20700,414.0,71.0,368.0,73.0
20800,414.0,71.0,367.0,73.0
20900,414.0,72.0,368.0,73.0
21000,414.0,71.0,368.0,73.0
21100,414.0,71.0,368.0,73.0
21200,414.0,71.0,368.0,73.0
21300,414.0,72.0,369.0,73.0
21400,414.0,72.0,368.0,73.0
21500,414.0,72.0,369.0,74.0
21600,414.0,71.0,368.0,73.0
21700,414.0,71.0,369.0,73.0
21800,414.0,71.0,369.0,73.0
21900,414.0,71.0,368.0,73.0
22000,415.0,71.0,369.0,73.0
22100,414.0,71.0,369.0,73.0
22200,415.0,71.0,369.0,72.0
22300,415.0,72.0,369.0,73.0
22400,415.0,71.0,369.0,73.0
22500,415.0,71.0,369.0,73.0
22600,414.0,72.0,369.0,73.0
22700,415.0,72.0,369.0,73.0
22800,415.0,71.0,369.0,73.0
22900,414.0,72.0,369.0,73.0
23000,415.0,71.0,369.0,73.0
23100,415.0,71.0,368.0,74.0
23200,415.0,72.0,370.0,73.0
23300,414.0,71.0,369.0,73.0
23400,415.0,71.0,370.0,73.0
23500,414.0,71.0,370.0,73.0
23600,415.0,71.0,370.0,73.0
23700,415.0,72.0,370.0,73.0
23800,415.0,71.0,370.0,73.0
23900,415.0,71.0,370.0,73.0
24000,414.0,72.0,370.0,72.0
24100,415.0,71.0,370.0,73.0
24200,415.0,71.0,369.0,73.0
24300,415.0,71.0,370.0,73.0
24400,415.0,71.0,369.0,73.0
24500,414.0,70.0,369.0,73.0
24600,415.0,71.0,370.0,73.0
24700,415.0,71.0,369.0,73.0
24800,415.0,71.0,370.0,73.0
24900,415.0,71.0,369.0,73.0
25000,414.0,71.0,370.0,72.0
25100,414.0,72.0,369.0,73.0
25200,414.0,72.0,369.0,73.0
25300,415.0,71.0,369.0,73.0
25400,415.0,71.0,370.0,73.0
25500,414.0,71.0,369.0,73.0
25600,414.0,72.0,369.0,73.0
25700,415.0,71.0,369.0,72.0
25800,414.0,71.0,370.0,73.0
25900,414.0,71.0,369.0,72.0
