timestamp,gas1,gas2,gas3,gas4
0,242.0,35.0,329.0,70.0
100,241.0,34.0,328.0,70.0
200,241.0,34.0,328.0,69.0
300,239.0,34.0,327.0,70.0
400,239.0,34.0,327.0,70.0
500,240.0,33.0,327.0,69.0
600,240.0,34.0,327.0,69.0
700,239.0,33.0,327.0,69.0
800,239.0,34.0,327.0,69.0
900,239.0,33.0,327.0,70.0
1000,238.0,34.0,327.0,70.0
1100,238.0,34.0,328.0,71.0
1200,238.0,34.0,327.0,71.0
1300,237.0,34.0,328.0,72.0
1400,237.0,34.0,327.0,72.0
1500,236.0,34.0,328.0,72.0
1600,236.0,34.0,329.0,74.0
1700,235.0,34.0,330.0,74.0
1800,236.0,35.0,331.0,74.0
1900,236.0,35.0,332.0,76.0
2000,235.0,34.0,331.0,75.0
2100,237.0,34.0,329.0,76.0
2200,237.0,34.0,330.0,76.0
2300,237.0,34.0,329.0,76.0
2400,237.0,34.0,328.0,75.0
2500,236.0,33.0,328.0,75.0
2600,235.0,33.0,329.0,74.0
2700,235.0,34.0,329.0,74.0
2800,235.0,33.0,331.0,72.0
2900,235.0,33.0,333.0,73.0
3000,235.0,34.0,335.0,73.0
3100,236.0,33.0,337.0,73.0
3200,237.0,34.0,337.0,73.0
3300,239.0,35.0,339.0,73.0
3400,240.0,34.0,341.0,73.0
3500,242.0,35.0,341.0,73.0
3600,243.0,35.0,342.0,73.0
3700,244.0,36.0,344.0,74.0
3800,245.0,36.0,346.0,75.0
3900,246.0,36.0,348.0,75.0
4000,247.0,35.0,350.0,75.0
4100,247.0,35.0,348.0,76.0
4200,246.0,35.0,347.0,76.0
4300,245.0,35.0,345.0,77.0
4400,245.0,35.0,342.0,77.0
4500,244.0,34.0,341.0,77.0
4600,242.0,35.0,338.0,77.0
4700,241.0,34.0,335.0,77.0
4800,240.0,35.0,331.0,77.0
4900,238.0,34.0,329.0,76.0
5000,238.0,35.0,327.0,76.0
5100,237.0,34.0,324.0,76.0
5200,236.0,34.0,322.0,76.0
5300,234.0,34.0,319.0,74.0
5400,234.0,33.0,318.0,74.0
5500,233.0,33.0,316.0,73.0
5600,232.0,33.0,315.0,72.0
5700,231.0,34.0,314.0,72.0
5800,230.0,34.0,312.0,72.0
5900,230.0,34.0,311.0,71.0
6000,230.0,33.0,309.0,72.0
6100,228.0,33.0,309.0,71.0
6200,228.0,33.0,308.0,71.0
6300,228.0,33.0,307.0,70.0
6400,227.0,33.0,306.0,69.0
6500,226.0,33.0,305.0,69.0
6600,226.0,33.0,304.0,69.0
6700,225.0,33.0,303.0,68.0
6800,225.0,32.0,302.0,68.0
6900,224.0,33.0,303.0,68.0
7000,222.0,33.0,302.0,68.0
7100,223.0,33.0,301.0,68.0
7200,223.0,33.0,301.0,68.0
7300,222.0,33.0,301.0,69.0
7400,222.0,32.0,300.0,68.0
7500,221.0,33.0,299.0,69.0
7600,221.0,33.0,298.0,69.0
7700,221.0,33.0,298.0,70.0
7800,220.0,33.0,298.0,71.0
7900,219.0,33.0,297.0,71.0
8000,220.0,33.0,297.0,72.0
8100,219.0,33.0,298.0,73.0
8200,220.0,33.0,301.0,74.0
8300,220.0,33.0,307.0,75.0
8400,223.0,34.0,313.0,76.0
8500,222.0,33.0,319.0,77.0
8600,224.0,33.0,325.0,78.0
8700,223.0,34.0,330.0,79.0
8800,223.0,34.0,333.0,80.0
8900,224.0,34.0,335.0,80.0
9000,222.0,33.0,335.0,81.0
9100,222.0,34.0,333.0,81.0
9200,222.0,34.0,331.0,82.0
9300,221.0,34.0,329.0,82.0
9400,220.0,34.0,327.0,82.0
9500,221.0,33.0,324.0,82.0
9600,220.0,33.0,321.0,82.0
9700,219.0,33.0,319.0,81.0
9800,219.0,34.0,317.0,81.0
9900,219.0,34.0,314.0,81.0
10000,217.0,34.0,313.0,80.0
10100,218.0,34.0,311.0,81.0
10200,218.0,34.0,310.0,80.0
10300,218.0,33.0,309.0,81.0
10400,217.0,33.0,307.0,81.0
10500,217.0,33.0,307.0,81.0
10600,216.0,33.0,306.0,81.0
10700,216.0,33.0,305.0,80.0
10800,216.0,33.0,305.0,81.0
10900,216.0,33.0,304.0,81.0
11000,215.0,33.0,303.0,81.0
11100,216.0,33.0,302.0,80.0
11200,215.0,34.0,302.0,80.0
11300,215.0,33.0,300.0,80.0
11400,214.0,33.0,300.0,79.0
11500,214.0,34.0,299.0,78.0
11600,214.0,33.0,297.0,78.0
11700,214.0,33.0,297.0,77.0
11800,214.0,33.0,296.0,78.0
11900,214.0,33.0,296.0,77.0
12000,213.0,32.0,296.0,78.0
12100,214.0,33.0,296.0,78.0
12200,214.0,33.0,296.0,78.0
12300,213.0,33.0,296.0,78.0
12400,213.0,34.0,296.0,79.0
12500,213.0,33.0,296.0,79.0
12600,213.0,34.0,297.0,80.0
12700,213.0,33.0,298.0,80.0
12800,214.0,34.0,299.0,80.0
12900,213.0,34.0,301.0,80.0
13000,213.0,33.0,301.0,81.0
13100,214.0,34.0,302.0,82.0
13200,213.0,34.0,302.0,80.0
13300,213.0,34.0,302.0,81.0
13400,212.0,34.0,301.0,82.0
13500,213.0,34.0,300.0,81.0
13600,212.0,34.0,298.0,81.0
13700,213.0,33.0,297.0,81.0
13800,212.0,34.0,298.0,81.0
13900,213.0,34.0,297.0,81.0
14000,212.0,33.0,297.0,81.0
14100,212.0,34.0,297.0,82.0
14200,212.0,34.0,297.0,82.0
14300,211.0,34.0,297.0,82.0
14400,212.0,34.0,296.0,83.0
14500,211.0,34.0,296.0,83.0
14600,211.0,34.0,295.0,83.0
14700,211.0,33.0,295.0,82.0
14800,211.0,34.0,293.0,81.0
14900,211.0,34.0,293.0,81.0
15000,212.0,33.0,293.0,80.0
15100,212.0,33.0,293.0,79.0
15200,211.0,33.0,291.0,79.0
15300,211.0,33.0,290.0,79.0
15400,211.0,33.0,290.0,78.0
15500,210.0,33.0,289.0,78.0
15600,211.0,33.0,289.0,77.0
15700,211.0,33.0,288.0,77.0
15800,211.0,32.0,288.0,76.0
15900,210.0,32.0,288.0,77.0
16000,210.0,32.0,288.0,76.0
16100,210.0,32.0,287.0,76.0
16200,210.0,32.0,287.0,76.0
16300,210.0,32.0,286.0,76.0
16400,211.0,32.0,286.0,76.0
16500,210.0,33.0,287.0,76.0
16600,210.0,33.0,287.0,77.0
16700,209.0,33.0,287.0,78.0
16800,210.0,33.0,286.0,78.0
16900,210.0,33.0,287.0,77.0
17000,210.0,33.0,286.0,78.0
17100,209.0,32.0,286.0,77.0
17200,210.0,32.0,286.0,77.0
17300,209.0,33.0,285.0,78.0
17400,209.0,33.0,285.0,78.0
17500,210.0,33.0,284.0,78.0
17600,210.0,33.0,284.0,79.0
17700,209.0,32.0,285.0,78.0
17800,209.0,33.0,286.0,78.0
17900,209.0,32.0,288.0,80.0
18000,209.0,34.0,291.0,81.0
18100,210.0,33.0,294.0,82.0
18200,210.0,34.0,298.0,82.0
18300,210.0,33.0,302.0,83.0
18400,210.0,34.0,304.0,83.0
18500,210.0,34.0,305.0,84.0
18600,210.0,33.0,307.0,84.0
18700,211.0,34.0,307.0,85.0
18800,211.0,34.0,307.0,85.0
18900,210.0,34.0,306.0,86.0
19000,211.0,34.0,308.0,86.0
19100,209.0,34.0,307.0,86.0
19200,210.0,34.0,306.0,86.0
19300,210.0,34.0,305.0,85.0
19400,210.0,34.0,303.0,84.0
19500,209.0,33.0,302.0,84.0
19600,209.0,34.0,300.0,83.0
19700,209.0,33.0,299.0,83.0
19800,210.0,33.0,297.0,83.0
19900,209.0,34.0,296.0,83.0
20000,209.0,33.0,295.0,82.0
20100,209.0,33.0,294.0,81.0
20200,209.0,33.0,293.0,81.0
20300,209.0,34.0,292.0,81.0
20400,209.0,33.0,291.0,80.0
20500,208.0,33.0,290.0,79.0
20600,208.0,32.0,290.0,78.0
20700,209.0,32.0,289.0,78.0
20800,208.0,33.0,288.0,77.0
20900,208.0,32.0,288.0,78.0
21000,208.0,33.0,288.0,77.0
21100,208.0,33.0,286.0,76.0
21200,209.0,33.0,287.0,77.0
21300,207.0,33.0,286.0,78.0
21400,209.0,32.0,286.0,77.0
21500,209.0,32.0,285.0,78.0
21600,209.0,32.0,285.0,77.0
21700,208.0,32.0,286.0,77.0
21800,208.0,32.0,285.0,77.0
21900,208.0,32.0,284.0,76.0
22000,208.0,32.0,284.0,77.0
22100,208.0,32.0,284.0,77.0
22200,207.0,32.0,284.0,77.0
22300,208.0,32.0,282.0,76.0
22400,208.0,32.0,282.0,75.0
22500,208.0,33.0,282.0,74.0
22600,207.0,32.0,282.0,73.0
22700,207.0,32.0,282.0,73.0
22800,208.0,32.0,282.0,72.0
22900,207.0,31.0,281.0,71.0
23000,207.0,31.0,281.0,71.0
23100,208.0,32.0,282.0,70.0
23200,206.0,31.0,281.0,69.0
23300,207.0,32.0,282.0,69.0
23400,206.0,32.0,283.0,68.0
23500,207.0,31.0,283.0,67.0
23600,207.0,31.0,285.0,68.0
23700,207.0,32.0,285.0,67.0
23800,207.0,32.0,286.0,67.0
23900,207.0,31.0,288.0,68.0
24000,208.0,31.0,288.0,67.0
24100,208.0,32.0,289.0,67.0
24200,209.0,32.0,290.0,67.0
24300,210.0,32.0,292.0,68.0
24400,211.0,32.0,294.0,68.0
24500,212.0,32.0,296.0,67.0
24600,213.0,32.0,299.0,69.0
24700,214.0,32.0,302.0,68.0
24800,216.0,32.0,304.0,70.0
24900,217.0,33.0,304.0,70.0
25000,217.0,32.0,305.0,70.0
25100,218.0,32.0,305.0,71.0
25200,220.0,32.0,306.0,70.0
25300,219.0,32.0,306.0,72.0
25400,220.0,32.0,305.0,70.0
25500,221.0,31.0,305.0,71.0
25600,221.0,32.0,305.0,71.0
25700,221.0,32.0,305.0,70.0
25800,218.0,32.0,305.0,71.0
25900,218.0,32.0,304.0,71.0
26000,219.0,31.0,302.0,70.0
26100,218.0,32.0,302.0,70.0
26200,218.0,32.0,302.0,69.0
26300,216.0,31.0,300.0,68.0
26400,217.0,32.0,299.0,68.0
26500,217.0,32.0,299.0,69.0
26600,217.0,32.0,298.0,69.0
26700,216.0,32.0,297.0,69.0
26800,216.0,32.0,297.0,69.0
26900,216.0,32.0,297.0,69.0
27000,216.0,32.0,297.0,70.0
27100,216.0,32.0,299.0,69.0
27200,216.0,32.0,301.0,71.0
27300,218.0,32.0,303.0,71.0
27400,220.0,32.0,306.0,72.0
27500,222.0,33.0,310.0,72.0
27600,224.0,33.0,313.0,74.0
27700,227.0,33.0,317.0,74.0
27800,231.0,32.0,321.0,75.0
27900,234.0,33.0,325.0,76.0
28000,238.0,33.0,330.0,76.0
28100,242.0,33.0,335.0,77.0
28200,246.0,33.0,340.0,78.0
28300,250.0,33.0,345.0,79.0
28400,255.0,33.0,350.0,79.0
28500,260.0,34.0,354.0,79.0
28600,265.0,34.0,360.0,80.0
28700,272.0,34.0,363.0,80.0
28800,278.0,34.0,367.0,80.0
28900,283.0,34.0,370.0,81.0
29000,288.0,35.0,372.0,81.0
29100,294.0,35.0,374.0,82.0
29200,296.0,35.0,376.0,82.0
29300,300.0,36.0,379.0,82.0
29400,303.0,36.0,382.0,83.0
29500,305.0,36.0,383.0,83.0
29600,305.0,36.0,385.0,84.0
29700,305.0,35.0,384.0,84.0
29800,303.0,36.0,383.0,84.0
29900,302.0,36.0,382.0,84.0
30000,300.0,36.0,380.0,85.0
30100,298.0,36.0,378.0,84.0
30200,296.0,36.0,375.0,84.0
30300,294.0,35.0,373.0,84.0
30400,292.0,35.0,371.0,85.0
30500,289.0,36.0,369.0,85.0
30600,287.0,35.0,368.0,84.0
30700,285.0,35.0,366.0,85.0
30800,283.0,35.0,365.0,85.0
30900,282.0,34.0,365.0,85.0
31000,281.0,35.0,364.0,84.0
31100,279.0,34.0,364.0,84.0
31200,278.0,35.0,365.0,84.0
31300,278.0,35.0,367.0,84.0
31400,279.0,34.0,370.0,84.0
31500,280.0,35.0,372.0,85.0
31600,281.0,36.0,375.0,84.0
31700,284.0,35.0,379.0,85.0
31800,285.0,35.0,381.0,85.0
31900,288.0,35.0,384.0,85.0
32000,288.0,35.0,386.0,86.0
32100,290.0,36.0,388.0,86.0
32200,290.0,36.0,390.0,86.0
32300,291.0,35.0,391.0,87.0
32400,291.0,36.0,391.0,86.0
32500,291.0,36.0,390.0,87.0
32600,291.0,36.0,389.0,88.0
32700,289.0,36.0,386.0,87.0
32800,289.0,36.0,385.0,88.0
32900,287.0,36.0,382.0,87.0
33000,286.0,36.0,383.0,87.0
33100,287.0,35.0,382.0,87.0
33200,287.0,36.0,381.0,87.0
33300,286.0,35.0,382.0,87.0
33400,286.0,35.0,382.0,87.0
33500,286.0,35.0,382.0,86.0
33600,286.0,36.0,383.0,87.0
33700,285.0,35.0,383.0,87.0
33800,286.0,36.0,385.0,87.0
33900,286.0,36.0,386.0,87.0
34000,286.0,35.0,387.0,87.0
34100,287.0,36.0,387.0,88.0
34200,286.0,36.0,388.0,88.0
34300,285.0,36.0,387.0,88.0
34400,284.0,36.0,386.0,88.0
34500,284.0,36.0,384.0,87.0
34600,283.0,36.0,381.0,87.0
34700,281.0,36.0,380.0,86.0
34800,280.0,36.0,378.0,86.0
34900,279.0,35.0,376.0,85.0
35000,278.0,35.0,374.0,85.0
35100,277.0,35.0,375.0,84.0
35200,276.0,34.0,374.0,85.0
35300,275.0,35.0,375.0,84.0
35400,275.0,35.0,375.0,85.0
35500,273.0,36.0,374.0,85.0
35600,273.0,36.0,374.0,86.0
35700,273.0,35.0,374.0,85.0
35800,272.0,35.0,374.0,85.0
35900,271.0,35.0,373.0,84.0
36000,271.0,35.0,373.0,85.0
36100,271.0,35.0,372.0,85.0
36200,270.0,35.0,372.0,85.0
36300,269.0,35.0,371.0,84.0
36400,269.0,35.0,370.0,84.0
36500,268.0,35.0,370.0,84.0
36600,268.0,35.0,369.0,83.0
36700,266.0,35.0,368.0,83.0
36800,267.0,35.0,367.0,82.0
36900,265.0,35.0,366.0,83.0
37000,265.0,35.0,364.0,82.0
37100,264.0,34.0,362.0,81.0
37200,263.0,34.0,360.0,82.0
37300,262.0,34.0,357.0,81.0
37400,260.0,35.0,356.0,81.0
37500,260.0,35.0,353.0,81.0
37600,259.0,35.0,350.0,81.0
37700,258.0,34.0,348.0,81.0
37800,256.0,34.0,346.0,80.0
37900,255.0,34.0,344.0,80.0
38000,253.0,34.0,342.0,80.0
38100,252.0,34.0,339.0,79.0
38200,249.0,34.0,337.0,80.0
38300,249.0,34.0,336.0,80.0
38400,247.0,33.0,334.0,80.0
38500,246.0,34.0,333.0,80.0
38600,246.0,34.0,331.0,79.0
38700,244.0,34.0,331.0,80.0
38800,243.0,34.0,330.0,81.0
38900,243.0,34.0,329.0,80.0
39000,242.0,34.0,328.0,80.0
39100,241.0,34.0,329.0,82.0
39200,240.0,34.0,328.0,81.0
39300,239.0,34.0,329.0,82.0
39400,239.0,35.0,329.0,81.0
39500,238.0,35.0,329.0,83.0
39600,237.0,34.0,330.0,82.0
39700,237.0,34.0,330.0,83.0
39800,236.0,35.0,329.0,83.0
39900,235.0,34.0,330.0,84.0
40000,235.0,34.0,331.0,83.0
40100,234.0,34.0,331.0,83.0
40200,234.0,34.0,330.0,84.0
40300,233.0,35.0,330.0,83.0
40400,233.0,34.0,329.0,85.0
40500,232.0,34.0,329.0,85.0
40600,232.0,34.0,327.0,84.0
40700,231.0,35.0,327.0,85.0
40800,230.0,33.0,325.0,85.0
40900,230.0,35.0,323.0,85.0
41000,228.0,34.0,322.0,85.0
41100,229.0,34.0,321.0,85.0
41200,228.0,34.0,321.0,84.0
41300,228.0,34.0,319.0,84.0
41400,228.0,34.0,317.0,84.0
41500,227.0,34.0,317.0,83.0
41600,227.0,34.0,315.0,82.0
41700,225.0,34.0,315.0,82.0
41800,226.0,33.0,314.0,83.0
41900,225.0,33.0,313.0,82.0
42000,225.0,34.0,313.0,81.0
42100,224.0,34.0,312.0,82.0
42200,224.0,33.0,310.0,81.0
42300,223.0,33.0,310.0,81.0
42400,223.0,33.0,309.0,81.0
42500,223.0,33.0,309.0,80.0
42600,222.0,34.0,308.0,80.0
42700,223.0,34.0,307.0,80.0
42800,222.0,33.0,307.0,80.0
42900,221.0,34.0,305.0,79.0
43000,222.0,34.0,304.0,80.0
43100,221.0,34.0,304.0,79.0
43200,220.0,33.0,304.0,79.0
43300,220.0,34.0,303.0,77.0
43400,219.0,33.0,302.0,77.0
43500,220.0,32.0,301.0,77.0
43600,220.0,34.0,301.0,76.0
43700,220.0,33.0,301.0,76.0
43800,219.0,33.0,300.0,76.0
43900,219.0,32.0,300.0,75.0
44000,219.0,33.0,301.0,75.0
44100,219.0,33.0,300.0,75.0
44200,218.0,33.0,300.0,75.0
44300,218.0,33.0,300.0,74.0
44400,218.0,33.0,301.0,74.0
44500,217.0,33.0,300.0,75.0
44600,218.0,32.0,301.0,74.0
44700,218.0,34.0,302.0,75.0
44800,218.0,33.0,303.0,74.0
44900,218.0,33.0,303.0,75.0
45000,218.0,33.0,304.0,74.0
45100,218.0,33.0,304.0,73.0
45200,219.0,33.0,305.0,74.0
45300,220.0,33.0,306.0,74.0
45400,221.0,34.0,309.0,73.0
45500,223.0,33.0,312.0,75.0
45600,226.0,34.0,316.0,74.0
45700,229.0,33.0,320.0,76.0
45800,232.0,34.0,323.0,75.0
45900,234.0,34.0,326.0,75.0
46000,236.0,34.0,328.0,75.0
46100,239.0,35.0,331.0,75.0
46200,240.0,34.0,333.0,75.0
46300,244.0,35.0,336.0,75.0
46400,246.0,35.0,339.0,75.0
46500,248.0,36.0,340.0,76.0
46600,250.0,36.0,342.0,75.0
46700,252.0,36.0,341.0,76.0
46800,253.0,36.0,342.0,75.0
46900,252.0,36.0,341.0,75.0
47000,252.0,36.0,340.0,75.0
47100,252.0,37.0,339.0,75.0
47200,253.0,37.0,337.0,75.0
47300,253.0,37.0,337.0,75.0
47400,253.0,37.0,337.0,75.0
