timestamp,gas1,gas2,gas3,gas4
0,725.0,493.0,594.0,249.0
100,719.0,487.0,597.0,243.0
200,715.0,480.0,597.0,238.0
300,711.0,475.0,595.0,232.0
400,707.0,469.0,594.0,226.0
500,703.0,464.0,594.0,224.0
600,700.0,458.0,591.0,219.0
700,696.0,452.0,589.0,215.0
800,694.0,447.0,586.0,211.0
900,689.0,442.0,586.0,208.0
1000,686.0,437.0,582.0,204.0
1100,683.0,432.0,577.0,198.0
1200,681.0,427.0,571.0,192.0
1300,679.0,423.0,567.0,188.0
1400,676.0,419.0,563.0,185.0
1500,673.0,415.0,561.0,182.0
1600,671.0,410.0,560.0,180.0
1700,669.0,407.0,559.0,179.0
1800,666.0,403.0,561.0,177.0
1900,665.0,398.0,560.0,174.0
2000,663.0,395.0,560.0,174.0
2100,660.0,392.0,560.0,173.0
2200,658.0,389.0,561.0,171.0
2300,656.0,384.0,560.0,170.0
2400,655.0,381.0,560.0,169.0
2500,653.0,378.0,560.0,167.0
2600,651.0,376.0,560.0,166.0
2700,649.0,373.0,559.0,166.0
2800,648.0,370.0,559.0,164.0
2900,647.0,367.0,558.0,163.0
3000,645.0,365.0,557.0,162.0
3100,644.0,361.0,557.0,161.0
3200,643.0,360.0,556.0,160.0
3300,641.0,358.0,555.0,159.0
3400,640.0,355.0,555.0,159.0
3500,638.0,352.0,555.0,159.0
3600,637.0,351.0,555.0,157.0
3700,636.0,348.0,555.0,157.0
3800,635.0,346.0,554.0,155.0
3900,633.0,344.0,553.0,155.0
4000,633.0,341.0,551.0,154.0
4100,632.0,339.0,549.0,153.0
4200,631.0,337.0,549.0,152.0
4300,630.0,337.0,548.0,152.0
4400,629.0,334.0,547.0,150.0
4500,627.0,333.0,546.0,150.0
4600,627.0,331.0,544.0,149.0
4700,626.0,329.0,544.0,149.0
4800,625.0,327.0,543.0,148.0
4900,624.0,325.0,543.0,147.0
5000,624.0,325.0,542.0,146.0
5100,623.0,322.0,542.0,147.0
5200,621.0,320.0,543.0,146.0
5300,620.0,319.0,545.0,146.0
5400,620.0,318.0,544.0,146.0
5500,618.0,317.0,546.0,145.0
5600,619.0,315.0,547.0,145.0
5700,618.0,314.0,546.0,145.0
5800,617.0,313.0,547.0,145.0
5900,616.0,312.0,546.0,144.0
6000,616.0,311.0,545.0,144.0
6100,615.0,309.0,544.0,142.0
6200,613.0,307.0,542.0,142.0
6300,613.0,306.0,540.0,141.0
6400,613.0,305.0,536.0,139.0
6500,612.0,304.0,534.0,138.0
6600,612.0,302.0,529.0,137.0
6700,611.0,301.0,528.0,134.0
6800,609.0,300.0,525.0,134.0
6900,609.0,299.0,521.0,133.0
7000,608.0,297.0,519.0,132.0
7100,608.0,297.0,518.0,131.0
7200,607.0,295.0,518.0,130.0
7300,607.0,295.0,517.0,130.0
7400,606.0,294.0,517.0,129.0
7500,606.0,292.0,516.0,129.0
7600,605.0,292.0,516.0,129.0
7700,604.0,291.0,514.0,128.0
7800,604.0,289.0,513.0,127.0
7900,603.0,288.0,512.0,126.0
8000,603.0,287.0,510.0,128.0
8100,603.0,285.0,511.0,130.0
8200,602.0,286.0,511.0,130.0
8300,602.0,284.0,511.0,129.0
8400,600.0,283.0,510.0,129.0
8500,600.0,283.0,509.0,127.0
8600,600.0,282.0,509.0,128.0
8700,599.0,281.0,510.0,128.0
8800,598.0,280.0,511.0,128.0
8900,598.0,279.0,512.0,125.0
9000,598.0,279.0,514.0,125.0
9100,598.0,278.0,517.0,125.0
9200,597.0,278.0,521.0,125.0
9300,596.0,276.0,524.0,125.0
9400,596.0,275.0,525.0,125.0
9500,596.0,275.0,524.0,125.0
9600,596.0,274.0,521.0,125.0
9700,596.0,273.0,517.0,124.0
9800,594.0,272.0,517.0,124.0
9900,595.0,271.0,518.0,123.0
10000,594.0,270.0,521.0,123.0
10100,593.0,269.0,521.0,123.0
10200,593.0,269.0,522.0,123.0
10300,593.0,268.0,523.0,123.0
10400,592.0,268.0,525.0,124.0
10500,591.0,267.0,527.0,123.0
10600,592.0,266.0,528.0,124.0
10700,591.0,266.0,528.0,124.0
10800,591.0,265.0,528.0,124.0
10900,591.0,264.0,526.0,124.0
11000,591.0,264.0,527.0,124.0
11100,590.0,264.0,527.0,125.0
11200,590.0,262.0,528.0,125.0
11300,589.0,263.0,528.0,125.0
11400,589.0,262.0,530.0,125.0
11500,589.0,261.0,532.0,125.0
11600,589.0,261.0,531.0,125.0
11700,589.0,260.0,533.0,125.0
11800,589.0,259.0,533.0,125.0
11900,588.0,259.0,533.0,125.0
12000,588.0,258.0,532.0,125.0
12100,588.0,257.0,532.0,124.0
12200,588.0,258.0,531.0,124.0
12300,587.0,257.0,532.0,125.0
12400,587.0,257.0,533.0,126.0
12500,587.0,256.0,534.0,125.0
12600,586.0,255.0,535.0,126.0
12700,587.0,254.0,534.0,125.0
12800,587.0,254.0,535.0,125.0
12900,586.0,255.0,536.0,125.0
13000,586.0,254.0,536.0,126.0
13100,586.0,252.0,536.0,126.0
13200,585.0,253.0,537.0,126.0
13300,585.0,252.0,538.0,126.0
13400,584.0,252.0,539.0,125.0
13500,585.0,252.0,539.0,125.0
13600,584.0,250.0,539.0,125.0
13700,585.0,251.0,538.0,125.0
13800,584.0,250.0,535.0,125.0
13900,584.0,249.0,531.0,125.0
14000,583.0,250.0,526.0,123.0
14100,582.0,249.0,524.0,122.0
14200,583.0,248.0,522.0,123.0
14300,583.0,248.0,520.0,122.0
14400,583.0,248.0,519.0,122.0
14500,582.0,247.0,518.0,120.0
14600,582.0,247.0,518.0,121.0
14700,582.0,247.0,515.0,120.0
14800,581.0,246.0,512.0,119.0
14900,581.0,246.0,509.0,123.0
15000,581.0,244.0,506.0,122.0
15100,580.0,245.0,505.0,121.0
15200,581.0,244.0,502.0,121.0
15300,580.0,244.0,501.0,120.0
15400,580.0,243.0,501.0,119.0
15500,579.0,243.0,498.0,119.0
15600,579.0,241.0,499.0,118.0
15700,579.0,242.0,499.0,118.0
15800,578.0,241.0,502.0,118.0
15900,580.0,241.0,503.0,117.0
16000,579.0,240.0,504.0,118.0
16100,579.0,240.0,505.0,117.0
16200,578.0,240.0,506.0,118.0
16300,579.0,239.0,506.0,117.0
16400,578.0,239.0,504.0,116.0
16500,578.0,238.0,503.0,116.0
16600,578.0,238.0,502.0,116.0
16700,577.0,237.0,502.0,116.0
16800,577.0,238.0,500.0,115.0
16900,577.0,236.0,498.0,114.0
17000,577.0,236.0,496.0,115.0
17100,577.0,237.0,496.0,113.0
17200,577.0,236.0,496.0,114.0
17300,577.0,236.0,497.0,113.0
17400,576.0,235.0,496.0,114.0
17500,576.0,234.0,496.0,113.0
17600,576.0,234.0,496.0,113.0
17700,576.0,234.0,497.0,113.0
17800,576.0,233.0,499.0,114.0
17900,576.0,234.0,501.0,114.0
18000,576.0,233.0,504.0,115.0
18100,575.0,232.0,505.0,115.0
18200,576.0,233.0,507.0,115.0
18300,576.0,232.0,508.0,115.0
18400,575.0,232.0,509.0,116.0
18500,575.0,232.0,509.0,116.0
18600,575.0,231.0,509.0,116.0
18700,575.0,231.0,510.0,117.0
18800,574.0,230.0,510.0,117.0
18900,575.0,230.0,510.0,116.0
19000,573.0,230.0,509.0,116.0
19100,574.0,229.0,508.0,117.0
19200,574.0,229.0,509.0,116.0
19300,574.0,230.0,509.0,117.0
19400,573.0,229.0,509.0,116.0
19500,573.0,229.0,509.0,117.0
19600,574.0,228.0,510.0,117.0
19700,573.0,228.0,511.0,117.0
19800,573.0,227.0,511.0,117.0
19900,573.0,227.0,512.0,113.0
20000,573.0,227.0,513.0,114.0
20100,574.0,227.0,514.0,114.0
20200,573.0,227.0,515.0,114.0
20300,572.0,225.0,515.0,115.0
20400,571.0,226.0,517.0,115.0
20500,573.0,226.0,518.0,115.0
20600,572.0,226.0,519.0,115.0
20700,573.0,225.0,519.0,115.0
20800,572.0,225.0,521.0,116.0
20900,571.0,224.0,522.0,116.0
21000,572.0,225.0,523.0,117.0
21100,572.0,224.0,525.0,116.0
21200,572.0,224.0,526.0,117.0
21300,572.0,223.0,528.0,117.0
21400,572.0,224.0,529.0,117.0
21500,572.0,223.0,533.0,117.0
21600,571.0,222.0,535.0,118.0
21700,571.0,222.0,536.0,118.0
21800,571.0,222.0,538.0,119.0
21900,571.0,222.0,538.0,119.0
22000,571.0,222.0,540.0,119.0
22100,571.0,222.0,541.0,118.0
22200,571.0,222.0,541.0,119.0
22300,570.0,221.0,541.0,119.0
22400,571.0,222.0,539.0,119.0
22500,571.0,221.0,538.0,118.0
22600,571.0,221.0,537.0,119.0
22700,571.0,221.0,536.0,120.0
22800,570.0,221.0,537.0,119.0
22900,571.0,221.0,536.0,119.0
23000,570.0,221.0,535.0,118.0
23100,570.0,220.0,534.0,119.0
23200,571.0,220.0,535.0,120.0
23300,570.0,220.0,535.0,119.0
23400,571.0,219.0,534.0,118.0
23500,570.0,218.0,535.0,119.0
23600,571.0,219.0,536.0,119.0
23700,570.0,219.0,537.0,119.0
23800,571.0,218.0,538.0,119.0
23900,570.0,218.0,539.0,119.0
24000,571.0,218.0,539.0,120.0
24100,570.0,218.0,540.0,120.0
24200,570.0,217.0,539.0,120.0
24300,570.0,218.0,535.0,117.0
24400,570.0,218.0,530.0,114.0
24500,569.0,218.0,524.0,112.0
24600,569.0,216.0,519.0,111.0
24700,570.0,217.0,514.0,109.0
24800,568.0,217.0,510.0,112.0
24900,570.0,216.0,504.0,111.0
25000,570.0,216.0,501.0,110.0
25100,569.0,216.0,499.0,109.0
25200,570.0,216.0,501.0,109.0
25300,570.0,215.0,503.0,110.0
25400,568.0,215.0,504.0,110.0
25500,569.0,215.0,508.0,110.0
25600,569.0,214.0,511.0,110.0
25700,569.0,215.0,511.0,111.0
25800,568.0,214.0,511.0,111.0
25900,569.0,214.0,510.0,111.0
26000,569.0,214.0,510.0,111.0
26100,569.0,214.0,509.0,111.0
26200,569.0,214.0,509.0,111.0
26300,568.0,213.0,507.0,111.0
26400,569.0,213.0,505.0,110.0
26500,568.0,214.0,505.0,110.0
26600,568.0,213.0,504.0,111.0
26700,570.0,213.0,504.0,111.0
26800,569.0,213.0,504.0,111.0
26900,570.0,212.0,504.0,111.0
27000,569.0,213.0,504.0,111.0
27100,569.0,212.0,506.0,111.0
27200,569.0,212.0,506.0,112.0
27300,568.0,211.0,506.0,112.0
27400,568.0,211.0,507.0,112.0
27500,568.0,210.0,507.0,112.0
27600,569.0,210.0,508.0,112.0
27700,568.0,210.0,509.0,112.0
27800,568.0,211.0,509.0,113.0
27900,568.0,210.0,511.0,112.0
28000,569.0,210.0,511.0,113.0
28100,569.0,210.0,511.0,112.0
28200,568.0,210.0,512.0,109.0
28300,569.0,209.0,511.0,113.0
28400,568.0,210.0,511.0,113.0
28500,568.0,210.0,511.0,113.0
28600,568.0,209.0,512.0,109.0
28700,568.0,209.0,514.0,109.0
28800,568.0,209.0,515.0,109.0
28900,568.0,208.0,518.0,110.0
29000,568.0,208.0,518.0,110.0
29100,568.0,208.0,519.0,110.0
29200,568.0,208.0,520.0,110.0
29300,568.0,208.0,519.0,109.0
29400,568.0,208.0,519.0,108.0
29500,568.0,207.0,517.0,110.0
29600,567.0,207.0,517.0,109.0
29700,568.0,207.0,516.0,109.0
29800,568.0,207.0,516.0,109.0
29900,567.0,206.0,515.0,109.0
30000,567.0,207.0,514.0,109.0
30100,567.0,206.0,514.0,108.0
30200,567.0,206.0,513.0,109.0
30300,567.0,206.0,513.0,109.0
30400,567.0,206.0,512.0,109.0
30500,567.0,206.0,513.0,108.0
30600,567.0,205.0,513.0,109.0
30700,566.0,206.0,512.0,108.0
30800,566.0,205.0,511.0,112.0
30900,567.0,205.0,510.0,113.0
31000,567.0,205.0,510.0,112.0
31100,566.0,205.0,509.0,112.0
31200,567.0,205.0,508.0,111.0
31300,567.0,204.0,509.0,111.0
31400,566.0,204.0,509.0,112.0
31500,566.0,204.0,509.0,112.0
31600,566.0,203.0,509.0,112.0
31700,566.0,204.0,510.0,112.0
31800,565.0,203.0,512.0,109.0
31900,566.0,203.0,513.0,109.0
32000,566.0,202.0,513.0,109.0
32100,566.0,203.0,513.0,108.0
32200,566.0,203.0,514.0,109.0
32300,566.0,202.0,513.0,109.0
32400,567.0,201.0,515.0,109.0
32500,566.0,202.0,514.0,109.0
32600,566.0,201.0,514.0,108.0
32700,566.0,201.0,513.0,108.0
32800,566.0,201.0,511.0,111.0
32900,565.0,201.0,511.0,111.0
33000,566.0,202.0,510.0,111.0
33100,566.0,201.0,510.0,112.0
33200,565.0,201.0,510.0,112.0
33300,566.0,201.0,511.0,112.0
33400,566.0,200.0,512.0,109.0
33500,565.0,200.0,512.0,109.0
33600,566.0,200.0,514.0,108.0
33700,566.0,200.0,513.0,109.0
33800,565.0,200.0,514.0,109.0
33900,566.0,200.0,514.0,109.0
34000,565.0,200.0,513.0,108.0
34100,565.0,199.0,513.0,109.0
34200,565.0,199.0,513.0,109.0
34300,565.0,199.0,514.0,110.0
34400,564.0,199.0,515.0,110.0
34500,566.0,199.0,515.0,109.0
34600,565.0,199.0,517.0,109.0
34700,565.0,199.0,516.0,110.0
34800,565.0,199.0,516.0,110.0
34900,565.0,198.0,516.0,110.0
35000,565.0,197.0,517.0,110.0
35100,565.0,198.0,519.0,109.0
35200,565.0,197.0,520.0,109.0
35300,565.0,197.0,520.0,110.0
35400,564.0,197.0,520.0,109.0
35500,564.0,197.0,520.0,110.0
35600,564.0,197.0,520.0,109.0
35700,565.0,197.0,519.0,109.0
35800,564.0,196.0,518.0,108.0
35900,564.0,196.0,517.0,108.0
36000,564.0,197.0,516.0,108.0
36100,564.0,196.0,513.0,106.0
36200,563.0,196.0,513.0,106.0
36300,564.0,196.0,514.0,106.0
36400,564.0,195.0,515.0,106.0
36500,564.0,196.0,515.0,107.0
36600,564.0,196.0,514.0,106.0
36700,564.0,195.0,515.0,105.0
36800,563.0,195.0,515.0,105.0
36900,564.0,195.0,515.0,106.0
37000,564.0,195.0,516.0,105.0
37100,563.0,195.0,519.0,106.0
37200,563.0,194.0,521.0,107.0
37300,563.0,194.0,522.0,107.0
37400,563.0,194.0,524.0,109.0
37500,562.0,193.0,525.0,109.0
37600,563.0,194.0,526.0,109.0
37700,563.0,194.0,526.0,109.0
37800,563.0,193.0,527.0,110.0
37900,564.0,193.0,527.0,110.0
38000,562.0,193.0,527.0,111.0
38100,563.0,193.0,527.0,111.0
38200,563.0,193.0,527.0,110.0
38300,563.0,193.0,529.0,111.0
38400,563.0,192.0,528.0,110.0
38500,562.0,193.0,529.0,111.0
38600,562.0,192.0,529.0,112.0
38700,562.0,192.0,529.0,112.0
38800,563.0,192.0,530.0,112.0
38900,562.0,191.0,530.0,112.0
39000,563.0,192.0,530.0,112.0
39100,562.0,191.0,530.0,113.0
39200,563.0,192.0,531.0,112.0
39300,563.0,191.0,532.0,112.0
39400,562.0,191.0,531.0,112.0
39500,563.0,192.0,532.0,112.0
39600,562.0,191.0,531.0,112.0
39700,563.0,191.0,532.0,113.0
39800,562.0,192.0,531.0,112.0
39900,562.0,190.0,530.0,112.0
40000,563.0,191.0,529.0,112.0
40100,562.0,190.0,529.0,112.0
40200,562.0,191.0,528.0,112.0
40300,562.0,190.0,528.0,112.0
40400,562.0,190.0,527.0,111.0
40500,563.0,189.0,525.0,111.0
40600,563.0,189.0,526.0,111.0
40700,562.0,190.0,525.0,110.0
40800,563.0,190.0,524.0,111.0
40900,562.0,189.0,524.0,110.0
41000,563.0,189.0,523.0,110.0
41100,562.0,189.0,522.0,109.0
41200,563.0,189.0,521.0,110.0
41300,563.0,189.0,519.0,108.0
41400,563.0,189.0,516.0,107.0
41500,561.0,189.0,514.0,107.0
41600,562.0,189.0,511.0,110.0
41700,562.0,188.0,508.0,109.0
41800,562.0,188.0,507.0,109.0
41900,562.0,188.0,505.0,109.0
42000,562.0,188.0,506.0,108.0
42100,562.0,189.0,506.0,109.0
42200,563.0,188.0,506.0,110.0
42300,563.0,187.0,505.0,110.0
42400,562.0,187.0,506.0,109.0
42500,563.0,187.0,509.0,110.0
42600,562.0,187.0,511.0,111.0
42700,562.0,187.0,513.0,106.0
42800,562.0,186.0,515.0,107.0
42900,563.0,187.0,518.0,107.0
43000,561.0,186.0,520.0,108.0
43100,562.0,187.0,520.0,108.0
43200,562.0,186.0,521.0,109.0
43300,562.0,186.0,524.0,108.0
43400,562.0,186.0,525.0,109.0
43500,562.0,186.0,525.0,110.0
43600,561.0,185.0,527.0,110.0
43700,562.0,186.0,527.0,110.0
43800,562.0,186.0,527.0,109.0
43900,562.0,185.0,527.0,110.0
44000,561.0,186.0,528.0,110.0
44100,562.0,185.0,528.0,110.0
44200,562.0,185.0,529.0,110.0
44300,561.0,185.0,530.0,110.0
44400,562.0,185.0,530.0,111.0
44500,562.0,185.0,531.0,111.0
44600,562.0,185.0,531.0,110.0
44700,562.0,186.0,531.0,111.0
44800,562.0,184.0,531.0,111.0
44900,562.0,184.0,530.0,110.0
45000,562.0,184.0,529.0,110.0
45100,561.0,184.0,529.0,110.0
45200,561.0,184.0,529.0,110.0
45300,562.0,184.0,528.0,111.0
45400,561.0,184.0,529.0,111.0
45500,561.0,183.0,529.0,111.0
45600,562.0,184.0,529.0,110.0
45700,562.0,183.0,530.0,111.0
45800,562.0,183.0,530.0,111.0
45900,561.0,183.0,531.0,111.0
46000,562.0,183.0,531.0,111.0
46100,562.0,183.0,532.0,111.0
46200,561.0,183.0,531.0,111.0
46300,561.0,183.0,532.0,111.0
46400,562.0,183.0,532.0,111.0
46500,561.0,183.0,532.0,111.0
46600,562.0,183.0,533.0,111.0
46700,562.0,183.0,532.0,112.0
46800,562.0,183.0,533.0,111.0
46900,561.0,183.0,532.0,111.0
47000,561.0,182.0,533.0,111.0
47100,562.0,182.0,534.0,112.0
47200,561.0,182.0,535.0,112.0
47300,562.0,182.0,535.0,112.0
47400,562.0,182.0,534.0,112.0
47500,562.0,182.0,534.0,112.0
47600,561.0,182.0,535.0,111.0
47700,562.0,181.0,534.0,111.0
47800,562.0,181.0,534.0,112.0
47900,562.0,181.0,532.0,110.0
48000,561.0,181.0,531.0,111.0
48100,561.0,181.0,530.0,111.0
48200,562.0,181.0,529.0,111.0
48300,562.0,181.0,529.0,111.0
48400,562.0,180.0,530.0,109.0
48500,562.0,181.0,531.0,110.0
48600,561.0,181.0,531.0,110.0
48700,561.0,181.0,532.0,112.0
48800,562.0,181.0,534.0,111.0
48900,562.0,180.0,536.0,112.0
49000,562.0,180.0,539.0,112.0
49100,561.0,180.0,540.0,113.0
49200,562.0,180.0,540.0,113.0
49300,562.0,180.0,539.0,113.0
49400,562.0,180.0,539.0,114.0
49500,563.0,180.0,539.0,113.0
49600,562.0,180.0,540.0,113.0
49700,562.0,180.0,539.0,113.0
49800,562.0,179.0,541.0,112.0
49900,561.0,179.0,540.0,112.0
50000,562.0,179.0,541.0,113.0
50100,563.0,179.0,540.0,114.0
50200,562.0,180.0,540.0,112.0
50300,562.0,179.0,541.0,113.0
50400,562.0,179.0,542.0,113.0
50500,562.0,179.0,543.0,113.0
50600,563.0,179.0,542.0,113.0
50700,562.0,179.0,542.0,112.0
50800,562.0,179.0,542.0,112.0
50900,563.0,178.0,541.0,112.0
51000,562.0,178.0,541.0,112.0
51100,562.0,179.0,539.0,111.0
51200,562.0,178.0,539.0,113.0
51300,562.0,178.0,537.0,112.0
51400,562.0,178.0,537.0,111.0
51500,561.0,178.0,536.0,112.0
51600,562.0,177.0,535.0,112.0
51700,562.0,176.0,534.0,111.0
51800,561.0,177.0,533.0,110.0
51900,561.0,177.0,533.0,110.0
52000,562.0,177.0,534.0,110.0
52100,561.0,177.0,533.0,110.0
52200,561.0,177.0,532.0,110.0
52300,562.0,176.0,533.0,109.0
52400,561.0,176.0,531.0,109.0
52500,561.0,176.0,530.0,108.0
52600,561.0,176.0,528.0,108.0
52700,562.0,177.0,524.0,106.0
52800,562.0,176.0,518.0,104.0
52900,562.0,177.0,511.0,106.0
53000,562.0,177.0,503.0,104.0
53100,562.0,176.0,494.0,102.0
53200,561.0,175.0,485.0,101.0
53300,561.0,175.0,479.0,100.0
53400,562.0,175.0,476.0,99.0
53500,561.0,175.0,473.0,99.0
53600,561.0,174.0,471.0,98.0
53700,562.0,175.0,471.0,98.0
53800,562.0,175.0,470.0,98.0
53900,562.0,175.0,470.0,99.0
54000,561.0,174.0,469.0,98.0
54100,562.0,175.0,471.0,98.0
54200,561.0,174.0,471.0,98.0
54300,561.0,174.0,473.0,99.0
54400,561.0,174.0,473.0,99.0
54500,561.0,173.0,473.0,99.0
54600,562.0,174.0,473.0,99.0
54700,560.0,174.0,472.0,99.0
54800,561.0,173.0,468.0,98.0
54900,561.0,173.0,463.0,96.0
55000,560.0,173.0,458.0,94.0
55100,560.0,172.0,452.0,92.0
55200,560.0,173.0,449.0,90.0
55300,560.0,172.0,446.0,89.0
55400,561.0,171.0,443.0,89.0
55500,560.0,172.0,443.0,90.0
55600,559.0,171.0,444.0,90.0
55700,560.0,171.0,446.0,91.0
55800,560.0,171.0,449.0,93.0
55900,559.0,170.0,453.0,93.0
56000,560.0,170.0,456.0,94.0
56100,560.0,171.0,458.0,96.0
56200,558.0,171.0,462.0,96.0
56300,560.0,170.0,464.0,97.0
56400,559.0,171.0,464.0,97.0
56500,559.0,170.0,465.0,98.0
56600,559.0,170.0,466.0,98.0
56700,558.0,170.0,466.0,98.0
56800,559.0,170.0,468.0,99.0
56900,559.0,169.0,466.0,99.0
57000,557.0,170.0,464.0,99.0
57100,558.0,169.0,462.0,97.0
57200,559.0,169.0,461.0,97.0
57300,558.0,169.0,457.0,95.0
57400,558.0,168.0,453.0,94.0
57500,558.0,169.0,451.0,93.0
57600,558.0,169.0,448.0,92.0
57700,558.0,168.0,446.0,92.0
57800,558.0,168.0,445.0,92.0
57900,557.0,169.0,442.0,90.0
58000,557.0,168.0,440.0,90.0
58100,558.0,168.0,440.0,90.0
58200,557.0,168.0,441.0,89.0
58300,558.0,167.0,443.0,89.0
58400,557.0,167.0,446.0,89.0
58500,557.0,166.0,450.0,90.0
58600,557.0,167.0,453.0,91.0
58700,557.0,166.0,455.0,91.0
58800,557.0,167.0,459.0,93.0
58900,556.0,166.0,464.0,94.0
59000,557.0,167.0,469.0,95.0
59100,558.0,167.0,474.0,97.0
59200,557.0,167.0,478.0,97.0
59300,557.0,166.0,481.0,99.0
59400,557.0,166.0,484.0,100.0
59500,557.0,166.0,486.0,101.0
59600,557.0,166.0,486.0,100.0
59700,557.0,166.0,484.0,101.0
59800,556.0,165.0,482.0,101.0
59900,556.0,166.0,481.0,101.0
60000,557.0,166.0,477.0,100.0
60100,557.0,166.0,476.0,99.0
60200,556.0,165.0,475.0,99.0
60300,557.0,166.0,473.0,97.0
60400,556.0,164.0,471.0,96.0
60500,556.0,165.0,467.0,94.0
60600,556.0,165.0,460.0,93.0
60700,556.0,165.0,455.0,91.0
60800,556.0,165.0,448.0,89.0
60900,556.0,165.0,442.0,89.0
61000,556.0,164.0,439.0,88.0
61100,556.0,163.0,440.0,88.0
61200,556.0,164.0,446.0,90.0
61300,555.0,163.0,454.0,91.0
61400,554.0,163.0,458.0,93.0
61500,555.0,163.0,460.0,93.0
61600,556.0,163.0,463.0,94.0
61700,555.0,162.0,464.0,95.0
61800,555.0,163.0,464.0,95.0
61900,555.0,162.0,464.0,96.0
62000,555.0,162.0,464.0,96.0
62100,556.0,162.0,462.0,96.0
62200,555.0,162.0,462.0,97.0
62300,555.0,163.0,462.0,97.0
62400,555.0,162.0,460.0,97.0
62500,554.0,161.0,458.0,97.0
62600,554.0,161.0,460.0,97.0
62700,555.0,161.0,459.0,96.0
62800,554.0,161.0,457.0,95.0
62900,554.0,161.0,455.0,94.0
63000,554.0,160.0,450.0,94.0
63100,554.0,159.0,451.0,94.0
63200,554.0,160.0,455.0,93.0
63300,553.0,160.0,459.0,93.0
63400,554.0,159.0,462.0,94.0
63500,554.0,160.0,466.0,94.0
63600,554.0,160.0,467.0,94.0
63700,553.0,159.0,469.0,95.0
