timestamp,gas1,gas2,gas3,gas4
0,606.0,229.0,434.0,99.0
100,607.0,230.0,434.0,99.0
200,607.0,229.0,433.0,98.0
300,606.0,230.0,435.0,98.0
400,606.0,229.0,434.0,98.0
500,607.0,229.0,435.0,98.0
600,607.0,230.0,433.0,99.0
700,608.0,230.0,434.0,99.0
800,607.0,230.0,434.0,98.0
900,607.0,230.0,435.0,98.0
1000,607.0,230.0,435.0,99.0
1100,607.0,230.0,435.0,98.0
1200,608.0,231.0,435.0,99.0
1300,607.0,230.0,434.0,99.0
1400,607.0,231.0,434.0,99.0
1500,607.0,230.0,435.0,98.0
1600,606.0,230.0,434.0,99.0
1700,607.0,230.0,435.0,98.0
1800,607.0,230.0,435.0,99.0
1900,605.0,231.0,435.0,99.0
2000,605.0,231.0,435.0,99.0
2100,605.0,230.0,435.0,98.0
2200,605.0,231.0,435.0,98.0
2300,605.0,230.0,435.0,98.0
2400,604.0,230.0,435.0,99.0
2500,604.0,231.0,434.0,98.0
2600,605.0,231.0,435.0,98.0
2700,604.0,230.0,435.0,98.0
2800,606.0,230.0,435.0,99.0
2900,605.0,230.0,435.0,98.0
3000,606.0,230.0,435.0,98.0
3100,607.0,230.0,436.0,98.0
3200,607.0,230.0,435.0,98.0
3300,607.0,230.0,435.0,99.0
3400,607.0,231.0,435.0,99.0
3500,608.0,230.0,435.0,99.0
3600,607.0,231.0,435.0,99.0
3700,607.0,231.0,434.0,99.0
3800,608.0,231.0,434.0,99.0
3900,608.0,231.0,435.0,99.0
4000,608.0,231.0,435.0,99.0
4100,608.0,230.0,435.0,98.0
4200,607.0,231.0,434.0,99.0
4300,607.0,231.0,435.0,98.0
4400,608.0,231.0,434.0,99.0
4500,607.0,231.0,435.0,98.0
4600,607.0,231.0,434.0,98.0
4700,607.0,231.0,435.0,98.0
4800,607.0,231.0,435.0,99.0
4900,607.0,231.0,435.0,98.0
5000,607.0,231.0,435.0,99.0
5100,606.0,231.0,435.0,98.0
5200,606.0,231.0,435.0,99.0
5300,607.0,230.0,434.0,99.0
5400,606.0,230.0,434.0,99.0
5500,607.0,231.0,435.0,99.0
5600,607.0,230.0,435.0,98.0
5700,607.0,231.0,434.0,98.0
5800,607.0,230.0,435.0,99.0
5900,607.0,231.0,435.0,99.0
6000,607.0,230.0,436.0,99.0
6100,607.0,230.0,435.0,99.0
