timestamp,gas1,gas2,gas3,gas4
0,372.0,39.0,692.0,407.0
100,373.0,38.0,692.0,407.0
200,372.0,39.0,692.0,408.0
300,373.0,38.0,692.0,408.0
400,373.0,39.0,691.0,407.0
500,373.0,38.0,690.0,406.0
600,373.0,38.0,689.0,406.0
700,373.0,38.0,688.0,406.0
800,373.0,38.0,687.0,404.0
900,373.0,38.0,685.0,404.0
1000,372.0,38.0,686.0,404.0
1100,373.0,38.0,685.0,404.0
1200,373.0,38.0,684.0,403.0
1300,372.0,38.0,685.0,402.0
1400,372.0,38.0,684.0,401.0
1500,372.0,38.0,683.0,400.0
1600,372.0,38.0,682.0,399.0
1700,373.0,38.0,682.0,399.0
1800,373.0,38.0,681.0,398.0
1900,372.0,38.0,680.0,398.0
2000,373.0,37.0,680.0,397.0
2100,373.0,38.0,680.0,397.0
2200,373.0,38.0,681.0,397.0
2300,372.0,38.0,680.0,397.0
2400,373.0,38.0,681.0,398.0
2500,373.0,38.0,682.0,399.0
2600,373.0,38.0,681.0,399.0
2700,372.0,39.0,679.0,398.0
2800,372.0,38.0,678.0,398.0
2900,372.0,38.0,678.0,396.0
3000,372.0,38.0,677.0,396.0
3100,373.0,38.0,677.0,397.0
3200,372.0,38.0,676.0,398.0
3300,372.0,38.0,677.0,398.0
3400,373.0,38.0,677.0,397.0
3500,373.0,39.0,677.0,398.0
3600,371.0,38.0,676.0,397.0
3700,373.0,39.0,676.0,397.0
3800,372.0,38.0,674.0,396.0
3900,372.0,38.0,674.0,396.0
4000,372.0,38.0,674.0,396.0
4100,372.0,38.0,673.0,396.0
4200,373.0,38.0,673.0,396.0
4300,373.0,38.0,672.0,396.0
4400,373.0,38.0,672.0,396.0
4500,372.0,38.0,672.0,396.0
4600,373.0,38.0,672.0,396.0
4700,372.0,38.0,673.0,396.0
4800,371.0,38.0,674.0,396.0
4900,372.0,38.0,673.0,396.0
5000,373.0,38.0,673.0,395.0
5100,372.0,38.0,674.0,397.0
5200,372.0,38.0,674.0,397.0
5300,373.0,38.0,673.0,397.0
5400,372.0,38.0,674.0,398.0
5500,372.0,38.0,674.0,397.0
5600,372.0,38.0,673.0,396.0
5700,373.0,37.0,672.0,397.0
5800,372.0,38.0,674.0,396.0
5900,373.0,38.0,674.0,397.0
6000,372.0,37.0,674.0,397.0
6100,371.0,38.0,675.0,397.0
6200,372.0,38.0,675.0,397.0
6300,372.0,38.0,677.0,397.0
6400,372.0,38.0,678.0,397.0
6500,372.0,38.0,678.0,397.0
6600,373.0,38.0,680.0,398.0
6700,372.0,38.0,682.0,399.0
6800,373.0,38.0,683.0,398.0
6900,371.0,38.0,683.0,400.0
7000,372.0,38.0,683.0,400.0
7100,372.0,38.0,684.0,400.0
7200,372.0,38.0,685.0,400.0
7300,372.0,38.0,686.0,402.0
7400,373.0,38.0,685.0,402.0
7500,372.0,38.0,685.0,402.0
7600,372.0,38.0,685.0,403.0
7700,372.0,38.0,685.0,403.0
7800,372.0,38.0,683.0,404.0
7900,373.0,38.0,683.0,404.0
8000,373.0,38.0,684.0,405.0
8100,372.0,38.0,685.0,405.0
8200,373.0,38.0,684.0,405.0
8300,372.0,38.0,684.0,406.0
8400,372.0,38.0,684.0,406.0
8500,373.0,37.0,685.0,405.0
8600,373.0,38.0,687.0,407.0
8700,373.0,38.0,687.0,406.0
8800,373.0,38.0,687.0,407.0
8900,373.0,38.0,688.0,407.0
9000,373.0,38.0,689.0,407.0
9100,373.0,38.0,690.0,407.0
9200,373.0,39.0,690.0,408.0
9300,372.0,38.0,690.0,409.0
9400,372.0,37.0,691.0,409.0
9500,373.0,38.0,691.0,409.0
9600,372.0,38.0,693.0,409.0
9700,372.0,38.0,693.0,411.0
9800,372.0,38.0,694.0,411.0
9900,372.0,38.0,695.0,411.0
10000,373.0,38.0,695.0,411.0
10100,373.0,38.0,696.0,412.0
10200,373.0,38.0,697.0,414.0
10300,372.0,38.0,698.0,413.0
10400,372.0,38.0,697.0,413.0
10500,373.0,38.0,698.0,414.0
10600,372.0,39.0,698.0,415.0
10700,373.0,38.0,699.0,416.0
10800,372.0,38.0,701.0,415.0
10900,373.0,38.0,700.0,417.0
11000,373.0,38.0,700.0,417.0
11100,372.0,38.0,702.0,417.0
11200,372.0,38.0,701.0,417.0
11300,372.0,38.0,702.0,418.0
11400,373.0,38.0,702.0,417.0
11500,372.0,38.0,702.0,418.0
11600,373.0,38.0,704.0,419.0
11700,373.0,38.0,702.0,419.0
11800,372.0,37.0,704.0,420.0
11900,373.0,38.0,704.0,420.0
12000,373.0,38.0,703.0,419.0
12100,373.0,38.0,704.0,418.0
12200,372.0,38.0,705.0,420.0
12300,373.0,38.0,704.0,420.0
12400,373.0,38.0,704.0,420.0
12500,373.0,38.0,704.0,420.0
12600,372.0,39.0,705.0,420.0
12700,373.0,37.0,704.0,421.0
12800,373.0,38.0,706.0,421.0
12900,373.0,38.0,706.0,421.0
13000,373.0,38.0,705.0,420.0
13100,373.0,39.0,706.0,421.0
13200,372.0,38.0,705.0,420.0
13300,373.0,38.0,706.0,420.0
13400,373.0,38.0,705.0,422.0
13500,373.0,38.0,706.0,421.0
13600,372.0,38.0,705.0,422.0
13700,373.0,39.0,706.0,422.0
13800,373.0,38.0,706.0,421.0
13900,373.0,38.0,705.0,422.0
14000,373.0,38.0,705.0,421.0
14100,373.0,38.0,705.0,421.0
14200,373.0,38.0,705.0,421.0
14300,374.0,38.0,706.0,421.0
14400,373.0,38.0,707.0,422.0
14500,374.0,38.0,706.0,422.0
14600,373.0,38.0,706.0,421.0
14700,373.0,38.0,706.0,422.0
14800,373.0,38.0,706.0,422.0
14900,372.0,38.0,707.0,422.0
15000,373.0,38.0,706.0,422.0
15100,373.0,38.0,707.0,422.0
15200,374.0,38.0,707.0,423.0
15300,373.0,39.0,707.0,422.0
15400,373.0,38.0,707.0,423.0
15500,373.0,39.0,707.0,423.0
15600,373.0,38.0,707.0,423.0
15700,374.0,38.0,708.0,423.0
15800,374.0,37.0,708.0,424.0
15900,374.0,38.0,709.0,423.0
16000,373.0,38.0,709.0,425.0
16100,373.0,38.0,709.0,425.0
16200,373.0,39.0,709.0,424.0
16300,372.0,38.0,708.0,425.0
16400,373.0,38.0,709.0,425.0
16500,373.0,38.0,709.0,425.0
16600,374.0,38.0,709.0,425.0
16700,374.0,38.0,710.0,425.0
16800,373.0,38.0,710.0,425.0
16900,373.0,38.0,709.0,425.0
17000,373.0,38.0,711.0,426.0
17100,373.0,38.0,711.0,426.0
17200,372.0,38.0,710.0,425.0
17300,372.0,38.0,711.0,425.0
17400,373.0,38.0,711.0,426.0
17500,373.0,38.0,711.0,426.0
17600,374.0,38.0,711.0,426.0
17700,373.0,38.0,711.0,426.0
17800,374.0,38.0,712.0,427.0
17900,373.0,38.0,711.0,425.0
18000,373.0,38.0,712.0,426.0
18100,373.0,38.0,712.0,426.0
18200,372.0,38.0,712.0,426.0
18300,372.0,37.0,712.0,426.0
18400,372.0,38.0,712.0,427.0
18500,373.0,38.0,712.0,426.0
18600,374.0,38.0,712.0,428.0
18700,373.0,38.0,712.0,427.0
18800,373.0,38.0,711.0,427.0
18900,373.0,37.0,712.0,428.0
19000,373.0,39.0,711.0,427.0
19100,373.0,38.0,712.0,428.0
19200,373.0,39.0,712.0,427.0
19300,372.0,38.0,712.0,428.0
19400,373.0,38.0,712.0,426.0
19500,372.0,38.0,712.0,427.0
19600,372.0,38.0,712.0,427.0
19700,373.0,38.0,712.0,427.0
19800,373.0,38.0,712.0,427.0
19900,372.0,38.0,712.0,427.0
20000,373.0,38.0,710.0,426.0
20100,372.0,39.0,711.0,428.0
20200,373.0,38.0,710.0,427.0
20300,373.0,38.0,709.0,426.0
20400,372.0,38.0,708.0,426.0
20500,373.0,38.0,707.0,425.0
20600,373.0,38.0,705.0,425.0
20700,372.0,38.0,705.0,424.0
20800,372.0,38.0,702.0,425.0
